Majority protein IDs,First Majority protein IDs,Fasta headers,Ratio H/L MSZ08-1_Insol,Ratio H/L MSZ08-2_Insol,Ratio H/L MSZ08-3_Insol,Log2 Ratio H/L MSZ08-1_Insol,Log2 Ratio H/L MSZ08-2_Insol,Log2 Ratio H/L MSZ08-3_Insol,rank,percent rank,Average Log2 Ratio H/L Insol,Insol Average after TCL Median correction
YPL263C,YPL263C,">YPL263C KEL3 SGDID:S000006184, Chr XVI from 46506-44551, Genome Release 64-1-1, reverse complement, Verified ORF, Cytoplasmic protein of unknown function",31.376,27.816,29.426,4.971589536,4.797843067,4.879019539,155,0.060594214,4.88281738,5.40255226
YOR236W,YOR236W,">YOR236W DFR1 SGDID:S000005762, Chr XV from 780906-781541, Genome Release 64-1-1, Verified ORF, Dihydrofolate reductase, part of the dTTP biosynthetic pathway, involved in folate metabolism, possibly required for mitochondrial function",28.569,26.35,34.076,4.836378633,4.719731057,5.09068409,156,0.060985145,4.882264593,5.401999473
YPL211W,YPL211W,">YPL211W NIP7 SGDID:S000006132, Chr XVI from 153495-154040, Genome Release 64-1-1, Verified ORF, Nucleolar protein required for 60S ribosome subunit biogenesis, constituent of 66S pre-ribosomal particles; physically interacts with Nop8p and the exosome su",29.405,25.839,33.73,4.877989585,4.691478332,5.075960413,157,0.061376075,4.881809444,5.401544323
YHR108W,YHR108W,">YHR108W GGA2 SGDID:S000001150, Chr VIII from 328303-330060, Genome Release 64-1-1, Verified ORF, Protein that interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner to facilitate traffic through the late Golgi; binds phosphatidylinositol ",26.558,37.527,25.554,4.731074601,5.229857057,4.675477231,158,0.061767005,4.878802963,5.398537842
YOR239W,YOR239W,">YOR239W ABP140 SGDID:S000005765, Chr XV from 784857-785687,785689-786744, Genome Release 64-1-1, Verified ORF, AdoMet-dependent tRNA methyltransferase and actin binding protein; C-terminal domain is responsible for 3-methylcytidine modification of residu",29.347,23.46,36.325,4.875141126,4.552131108,5.182890893,159,0.062157936,4.870054376,5.389789255
YOR126C,YOR126C,">YOR126C IAH1 SGDID:S000005652, Chr XV from 560677-559961, Genome Release 64-1-1, reverse complement, Verified ORF, Isoamyl acetate-hydrolyzing esterase, required in balance with alcohol acetyltransferase to maintain optimal amounts of isoamyl acetate, wh",17.86,24.684,56.666,4.158660175,4.625504295,5.824411462,160,0.062548866,4.869525311,5.38926019
YPR073C,YPR073C,">YPR073C LTP1 SGDID:S000006277, Chr XVI from 692418-691933, Genome Release 64-1-1, reverse complement, Verified ORF, Protein phosphotyrosine phosphatase of unknown cellular role; activated by adenine",32.062,25.282,30.742,5.002792517,4.660038691,4.942139121,161,0.062939797,4.868323443,5.388058322
YER080W,YER080W,">YER080W AIM9 SGDID:S000000882, Chr V from 319963-321846, Genome Release 64-1-1, Verified ORF, Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant disp",26.494,29.575,31.738,4.72759377,4.886306263,4.988139313,162,0.063330727,4.867346449,5.387081328
YDR358W,YDR358W,">YDR358W GGA1 SGDID:S000002766, Chr IV from 1190059-1191732, Genome Release 64-1-1, Verified ORF, Golgi-localized protein with homology to gamma-adaptin, interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic",30.841,22.19,34.81,4.946777639,4.471837762,5.121429909,163,0.063721658,4.84668177,5.36641665
YLR249W,YLR249W,">YLR249W YEF3 SGDID:S000004239, Chr XII from 636780-639914, Genome Release 64-1-1, Verified ORF, Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from ",28.836,27.622,29.881,4.849799149,4.787745878,4.901156525,164,0.064112588,4.846233851,5.36596873
YDR487C,YDR487C,">YDR487C RIB3 SGDID:S000002895, Chr IV from 1428980-1428354, Genome Release 64-1-1, reverse complement, Verified ORF, 3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase), required for riboflavin biosynthesis from ribulose-5-phosphate, also has a",31.249,35.413,21.256,4.965738118,5.146207161,4.409798228,165,0.064503518,4.840581169,5.360316048
YHL007C,YHL007C,">YHL007C STE20 SGDID:S000000999, Chr VIII from 97937-95118, Genome Release 64-1-1, reverse complement, Verified ORF, Cdc42p-activated signal transducing kinase of the PAK (p21-activated kinase) family; involved in pheromone response, pseudohyphal/invasive",33.854,26.705,25.683,5.0812544,4.739037979,4.682741827,166,0.064894449,4.834344735,5.354079614
YNL001W,YNL001W,">YNL001W DOM34 SGDID:S000004946, Chr XIV from 627456-628616, Genome Release 64-1-1, Verified ORF, Protein that, with binding partner Hbs1p, facilitates ribosomal subunit dissociation when translation is stalled; required for RNA cleavage in no-go decay, b",30.671,32.137,23.456,4.9388033,5.006163354,4.551885103,167,0.065285379,4.832283919,5.352018798
YKL088W,YKL088W,">YKL088W CAB3 SGDID:S000001571, Chr XI from 275283-276998, Genome Release 64-1-1, Verified ORF, Subunit of a phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis; null mu",20.143,71.657,15.972,4.332206662,6.16303574,3.997473072,168,0.06567631,4.830905158,5.350640037
YOR046C,YOR046C,">YOR046C DBP5 SGDID:S000005572, Chr XV from 415907-414459, Genome Release 64-1-1, reverse complement, Verified ORF, Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus; involved in translation terminatio",28.543,27.365,29.223,4.835065072,4.774259951,4.869032386,169,0.06606724,4.826119136,5.345854016
YGR150C,YGR150C,">YGR150C CCM1 SGDID:S000003382, Chr VII from 793053-790459, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial 15s rRNA-binding protein; required for intron removal of COB and COX1 pre-mRNAs; contains pentatricopeptide repeat (PPR) mot",13.945,35.713,45.536,3.801676029,5.158377425,5.508935662,170,0.06645817,4.822996372,5.342731251
YOR280C,YOR280C,">YOR280C FSH3 SGDID:S000005806, Chr XV from 845792-844992, Genome Release 64-1-1, reverse complement, Verified ORF, Putative serine hydrolase; likely target of Cyc8p-Tup1p-Rfx1p transcriptional regulation; sequence is similar to S. cerevisiae Fsh1p and Fs",26.631,22.901,37.118,4.735034698,4.517338692,5.214047072,171,0.066849101,4.822140154,5.341875033
YGL145W,YGL145W,">YGL145W TIP20 SGDID:S000003113, Chr VII from 230243-232348, Genome Release 64-1-1, Verified ORF, Peripheral membrane protein required for fusion of COPI vesicles with the ER; prohibits back-fusion of COPII vesicles with the ER; forms a tethering complex ",22.915,35.565,27.055,4.518220381,5.152386258,4.757823336,172,0.067240031,4.809476658,5.329211538
YDR361C,YDR361C,">YDR361C BCP1 SGDID:S000002769, Chr IV from 1196263-1195412, Genome Release 64-1-1, reverse complement, Verified ORF, Essential protein involved in nuclear export of Mss4p, which is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and pl",35.05,21.757,28.765,5.131342539,4.443407737,4.846242565,173,0.067630962,4.806997614,5.326732493
YMR079W,YMR079W,">YMR079W SEC14 SGDID:S000004684, Chr XIII from 424989-424997,425154-426059, Genome Release 64-1-1, Verified ORF, Phosphatidylinositol/phosphatidylcholine transfer protein; involved in regulating PtdIns, PtdCho, and ceramide metabolism, products of which r",28.832,30.201,25.036,4.849599011,4.916524415,4.645932176,174,0.068021892,4.804018534,5.323753413
YML017W,YML017W,">YML017W PSP2 SGDID:S000004479, Chr XIII from 236588-236591,236954-238731, Genome Release 64-1-1, Verified ORF, Asn rich cytoplasmic protein that contains RGG motifs; high-copy suppressor of group II intron-splicing defects of a mutation in MRS2 and of a ",22.989,24.222,38.777,4.522871806,4.598246088,5.277129288,175,0.068412823,4.799415727,5.319150607
YGL157W,YGL157W,">YGL157W ARI1 SGDID:S000003125, Chr VII from 209006-210049, Genome Release 64-1-1, Verified ORF, NADPH-dependent aldehyde reductase, utilizes aromatic and alophatic aldehyde substrates; member of the short-chain dehydrogenase/reductase superfamily",26.168,31.576,25.864,4.709731759,4.980756519,4.692873507,176,0.068803753,4.794453929,5.314188808
YGL018C,YGL018C,">YGL018C JAC1 SGDID:S000002986, Chr VII from 459664-459110, Genome Release 64-1-1, reverse complement, Verified ORF, Specialized J-protein that functions with Hsp70 in Fe-S cluster biogenesis in mitochondria, involved in iron metabolism; contains a J doma",30.984,23.776,29.007,4.953451501,4.571434116,4.85832919,177,0.069194683,4.794404936,5.314139815
YPR082C,YPR082C,">YPR082C DIB1 SGDID:S000006286, Chr XVI from 704656-704225, Genome Release 64-1-1, reverse complement, Verified ORF, 17-kDa component of the U4/U6aU5 tri-snRNP, plays an essential role in pre-mRNA splicing, orthologue of hDIM1, the human U5-specific 15-kD",19.236,25.517,43.423,4.265736926,4.673386818,5.440387497,178,0.069585614,4.793170414,5.312905293
YCL034W,YCL034W,">YCL034W LSB5 SGDID:S000000539, Chr III from 61658-62722, Genome Release 64-1-1, Verified ORF, Protein of unknown function; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerizatio",32.998,27.423,23.365,5.044306681,4.777314501,4.546277132,179,0.069976544,4.789299438,5.309034317
YMR188C,YMR188C,">YMR188C MRPS17 SGDID:S000004800, Chr XIII from 637004-636291, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the small subunit",29.611,26.083,27.366,4.888061308,4.705037909,4.774312671,180,0.070367475,4.789137296,5.308872175
YPL173W,YPL173W,">YPL173W MRPL40 SGDID:S000006094, Chr XVI from 223143-224036, Genome Release 64-1-1, Verified ORF, Mitochondrial ribosomal protein of the large subunit",27.111,21.118,36.666,4.760806423,4.400401304,5.196370982,181,0.070758405,4.78585957,5.305594449
YDR527W,YDR527W,">YDR527W RBA50 SGDID:S000002935, Chr IV from 1491094-1492413, Genome Release 64-1-1, Verified ORF, Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p, Rpb3, and Rpb11p; has similarity to human RPAP1",62.205,23.39,14.394,5.958958643,4.547819957,3.847395658,182,0.071149335,4.784724753,5.304459632
YER014W,YER014W,">YER014W HEM14 SGDID:S000000816, Chr V from 182600-184219, Genome Release 64-1-1, Verified ORF, Protoporphyrinogen oxidase, a mitochondrial enzyme that catalyzes the seventh step in the heme biosynthetic pathway, converting protoporphyrinogen IX to protop",14.171,47.288,31.161,3.824869663,5.563402221,4.961669627,183,0.071540266,4.783313837,5.303048716
YOR278W,YOR278W,">YOR278W HEM4 SGDID:S000005804, Chr XV from 842817-843644, Genome Release 64-1-1, Verified ORF, Uroporphyrinogen III synthase, catalyzes the conversion of hydroxymethylbilane to uroporphyrinogen III, the fourth step in heme biosynthesis; deficiency in the",23.203,19.657,45.733,4.536239444,4.296971253,5.515163655,184,0.071931196,4.782791451,5.30252633
YHR024C,YHR024C,">YHR024C MAS2 SGDID:S000001066, Chr VIII from 159192-157744, Genome Release 64-1-1, reverse complement, Verified ORF, Larger subunit of the mitochondrial processing protease (MPP), essential processing enzyme that cleaves the N-terminal targeting sequence",24.65,29.961,28.167,4.623515741,4.905013872,4.815934009,185,0.072322127,4.781487874,5.301222753
YDR243C,YDR243C,">YDR243C PRP28 SGDID:S000002651, Chr IV from 950284-948518, Genome Release 64-1-1, reverse complement, Verified ORF, RNA helicase in the DEAD-box family, involved in RNA isomerization at the 5 splice site",58.151,15.789,22.607,5.861732096,3.980847896,4.498697651,186,0.072713057,4.780425881,5.30016076
YMR024W,YMR024W,">YMR024W MRPL3 SGDID:S000004626, Chr XIII from 321875-323047, Genome Release 64-1-1, Verified ORF, Mitochondrial ribosomal protein of the large subunit",24.584,28.857,29.165,4.619647767,4.850849419,4.866166169,187,0.073103987,4.778887785,5.298622664
YPR088C,YPR088C,">YPR088C SRP54 SGDID:S000006292, Chr XVI from 713028-711403, Genome Release 64-1-1, reverse complement, Verified ORF, Signal recognition particle (SRP) subunit (homolog of mammalian SRP54); contains the signal sequence-binding activity of SRP, interacts w",29.984,22.978,29.97,4.906120953,4.522181326,4.905447179,188,0.073494918,4.777916486,5.297651365
YER003C,YER003C,">YER003C PMI40 SGDID:S000000805, Chr V from 158994-157736,159118-159088, Genome Release 64-1-1, reverse complement, Verified ORF, Mannose-6-phosphate isomerase, catalyzes the interconversion of fructose-6-P and mannose-6-P; required for early steps in pro",32.566,21.269,29.724,5.025294623,4.410680299,4.893556369,189,0.073885848,4.77651043,5.29624531
YNL129W,YNL129W,">YNL129W NRK1 SGDID:S000005073, Chr XIV from 381480-382202, Genome Release 64-1-1, Verified ORF, Nicotinamide riboside kinase, catalyzes the phosphorylation of nicotinamide riboside and nicotinic acid riboside in salvage pathways for NAD+ biosynthesis",25.728,26.979,29.347,4.685267407,4.753764969,4.875141126,190,0.074276779,4.771391167,5.291126047
YOL149W,YOL149W,">YOL149W DCP1 SGDID:S000005509, Chr XV from 44938-45633, Genome Release 64-1-1, Verified ORF, Subunit of the Dcp1p-Dcp2p decapping enzyme complex, which removes the 5 cap structure from mRNAs prior to their degradation; enhances the activity of catalytic",24.274,28.971,28.766,4.601339958,4.856537578,4.846292719,191,0.074667709,4.768056752,5.287791631
YIR026C,YIR026C,">YIR026C YVH1 SGDID:S000001465, Chr IX from 405967-404873, Genome Release 64-1-1, reverse complement, Verified ORF, Protein phosphatase involved in vegetative growth at low temperatures, sporulation, and glycogen accumulation; mutants are defective in 60S",34.048,33.603,17.494,5.089498151,5.070518134,4.128788294,192,0.07505864,4.76293486,5.282669739
YFR009W,YFR009W,">YFR009W GCN20 SGDID:S000001905, Chr VI from 162488-164746, Genome Release 64-1-1, Verified ORF, Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn1p; proposed to stimulate Gcn2p activation by an uncharged tRNA",28.165,25.227,27.511,4.815831566,4.656896746,4.781936676,193,0.07544957,4.751554996,5.271289875
YEL032W,YEL032W,">YEL032W MCM3 SGDID:S000000758, Chr V from 86937-89852, Genome Release 64-1-1, Verified ORF, Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex",25.636,30.704,24.785,4.68009927,4.940354712,4.631395354,194,0.0758405,4.750616445,5.270351324
YGR173W,YGR173W,">YGR173W RBG2 SGDID:S000003405, Chr VII from 843854-844960, Genome Release 64-1-1, Verified ORF, Protein with a role in translation; forms a complex with Gir2p; has similarity to mammalian developmentally regulated GTP-binding protein",27.861,20.293,34.377,4.800175136,4.342910255,5.103371745,195,0.076231431,4.748819045,5.268553925
YKL191W,YKL191W,">YKL191W DPH2 SGDID:S000001674, Chr XI from 81035-82639, Genome Release 64-1-1, Verified ORF, Protein required, along with Dph1p, Kti11p, Jjj3p, and Dph5p, for synthesis of diphthamide, which is a modified histidine residue of translation elongation facto",22.628,27.33,31.276,4.500037171,4.772413555,4.966984108,196,0.076622361,4.746478278,5.266213157
YBL033C,YBL033C,">YBL033C RIB1 SGDID:S000000129, Chr II from 159693-158656, Genome Release 64-1-1, reverse complement, Verified ORF, GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway",17.318,51.44,21.661,4.114200422,5.684818738,4.437027943,197,0.077013292,4.745349034,5.265083913
YNL137C,YNL137C,">YNL137C NAM9 SGDID:S000005081, Chr XIV from 370055-368595, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial ribosomal component of the small subunit",26.717,27.284,26.334,4.739686114,4.769983263,4.718854771,198,0.077404222,4.742841383,5.262576262
YDL124W,YDL124W,">YDL124W YDL124W SGDID:S000002282, Chr IV from 240259-241197, Genome Release 64-1-1, Verified ORF, NADPH-dependent alpha-keto amide reductase; reduces aromatic alpha-keto amides, aliphatic alpha-keto esters, and aromatic alpha-keto esters; member of the a",23.267,24.298,33.918,4.540213299,4.602765663,5.083979198,199,0.077795152,4.742319387,5.262054266
YER037W,YER037W,">YER037W PHM8 SGDID:S000000839, Chr V from 225889-226854, Genome Release 64-1-1, Verified ORF, Lysophosphatidic acid (LPA) phosphatase involved in LPA hydrolysis in response to phosphate starvation; phosphatase activity is soluble and Mg2+ dependent; expr",13.408,156.87,9.0579,3.745022149,7.293425666,3.179176612,200,0.078186083,4.739208142,5.258943022
YGR130C,YGR130C,">YGR130C YGR130C SGDID:S000003362, Chr VII from 753844-751394, Genome Release 64-1-1, reverse complement, Verified ORF, Component of the eisosome with unknown function; GFP-fusion protein localizes to the cytoplasm; specifically phosphorylated in vitro by",17.536,18.066,59.807,4.132247798,4.175205209,5.902242447,201,0.078577013,4.736565151,5.256300031
YCR005C,YCR005C,">YCR005C CIT2 SGDID:S000000598, Chr III from 122328-120946, Genome Release 64-1-1, reverse complement, Verified ORF, Citrate synthase, catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate, peroxisomal isozyme involved in glyoxy",25.708,27.732,26.464,4.684145472,4.793479761,4.725959235,202,0.078967944,4.734528156,5.254263035
YOR108W,YOR108W,">YOR108W LEU9 SGDID:S000005634, Chr XV from 523027-524841, Genome Release 64-1-1, Verified ORF, Alpha-isopropylmalate synthase II (2-isopropylmalate synthase), catalyzes the first step in the leucine biosynthesis pathway; the minor isozyme, responsible fo",27.91,27.188,24.677,4.802710219,4.764898123,4.625095111,203,0.079358874,4.730901151,5.25063603
YLR059C,YLR059C,">YLR059C REX2 SGDID:S000004049, Chr XII from 260547-259738, Genome Release 64-1-1, reverse complement, Verified ORF, 3-5 RNA exonuclease; involved in 3-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to m",16.837,32.729,33.757,4.073563198,5.032497618,5.077114792,204,0.079749805,4.727725203,5.247460082
YBR112C,YBR112C,">YBR112C CYC8 SGDID:S000000316, Chr II from 465770-462870, Genome Release 64-1-1, reverse complement, Verified ORF, General transcriptional co-repressor, acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits t",36.501,27.236,18.623,5.189864084,4.767442933,4.219013592,205,0.080140735,4.725440203,5.245175082
YDR429C,YDR429C,">YDR429C TIF35 SGDID:S000002837, Chr IV from 1325301-1324477, Genome Release 64-1-1, reverse complement, Verified ORF, eIF3g subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates resumption o",23.646,28.561,27.297,4.56352425,4.835974588,4.770670499,206,0.080531665,4.723389779,5.243124658
YIL107C,YIL107C,">YIL107C PFK26 SGDID:S000001369, Chr IX from 165761-163278, Genome Release 64-1-1, reverse complement, Verified ORF, 6-phosphofructo-2-kinase, inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate; has negligible fructose-2,6-bisphosphatase activit",53.757,15.336,22.255,5.748380723,3.938850337,4.476057596,207,0.080922596,4.721096219,5.240831098
YDL025C,YDL025C,">YDL025C RTK1 SGDID:S000002183, Chr IV from 407206-405344, Genome Release 64-1-1, reverse complement, Verified ORF, Putative protein kinase, potentially phosphorylated by Cdc28p; interacts with ribosome biogenesis factors, Cka2, Gus1 and Arc1",31.115,13.199,44.594,4.959538341,3.722356725,5.478777707,208,0.081313526,4.720224258,5.239959137
YBL057C,YBL057C,">YBL057C PTH2 SGDID:S000000153, Chr II from 113427-112801, Genome Release 64-1-1, reverse complement, Verified ORF, One of two (see also PTH1) mitochondrially-localized peptidyl-tRNA hydrolases; negatively regulates the ubiquitin-proteasome pathway via in",18.656,28.317,34.487,4.221567789,4.823596524,5.10798073,209,0.081704457,4.717715014,5.237449894
YOL141W,YOL141W,">YOL141W PPM2 SGDID:S000005501, Chr XV from 56452-58539, Genome Release 64-1-1, Verified ORF, AdoMet-dependent tRNA methyltransferase also involved in methoxycarbonylation; required for the synthesis of wybutosine (yW), a modified guanosine found at the 3",18.435,36.736,26.209,4.204375511,5.199122642,4.711990404,210,0.082095387,4.705162852,5.224897732
YOL023W,YOL023W,">YOL023W IFM1 SGDID:S000005383, Chr XV from 278056-280086, Genome Release 64-1-1, Verified ORF, Mitochondrial translation initiation factor 2",21.691,34.637,23.373,4.439024661,5.114242075,4.546771015,211,0.082486317,4.700012584,5.219747463
YML021C,YML021C,">YML021C UNG1 SGDID:S000004483, Chr XIII from 230813-229734, Genome Release 64-1-1, reverse complement, Verified ORF, Uracil-DNA glycosylase, required for repair of uracil in DNA formed by spontaneous cytosine deamination, not required for strand-specific",88.314,35.112,5.6604,6.464570255,5.13389227,2.500904007,212,0.082877248,4.699788844,5.219523723
YER114C,YER114C,">YER114C BOI2 SGDID:S000000916, Chr V from 393712-390590, Genome Release 64-1-1, reverse complement, Verified ORF, Protein implicated in polar growth, functionally redundant with Boi1p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homo",23.034,19.45,38.943,4.525693061,4.28169825,5.283292122,213,0.083268178,4.696894478,5.216629357
YJR148W,YJR148W,">YJR148W BAT2 SGDID:S000003909, Chr X from 705744-706874, Genome Release 64-1-1, Verified ORF, Cytosolic branched-chain amino acid (BCAA) aminotransferase, preferentially involved in BCAA catabolism; homolog of murine ECA39; highly expressed during statio",25.874,33.393,20.074,4.6934312,5.061473805,4.327256216,214,0.083659109,4.69405374,5.213788619
YJR032W,YJR032W,">YJR032W CPR7 SGDID:S000003793, Chr X from 491081-492262, Genome Release 64-1-1, Verified ORF, Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds to Hsp82p and co",22.909,26.848,28.159,4.51784258,4.746742716,4.815524196,215,0.084050039,4.693369831,5.21310471
YIL064W,YIL064W,">YIL064W SEE1 SGDID:S000001326, Chr IX from 241943-242716, Genome Release 64-1-1, Verified ORF, Probable lysine methyltransferase involved in the dimethylation of eEF1A (Tef1p/Tef2p); sequence similarity to S-adenosylmethionine-dependent methyltransferase",23.941,24.647,29.336,4.581411509,4.623340149,4.874600266,216,0.08444097,4.693117308,5.212852187
YIL078W,YIL078W,">YIL078W THS1 SGDID:S000001340, Chr IX from 212499-214703, Genome Release 64-1-1, Verified ORF, Threonyl-tRNA synthetase, essential cytoplasmic protein",25.571,25.663,26.218,4.676436676,4.681617926,4.712485731,217,0.0848319,4.690180111,5.20991499
YEL034W,YEL034W,">YEL034W HYP2 SGDID:S000000760, Chr V from 85676-86149, Genome Release 64-1-1, Verified ORF, Translation elongation factor eIF-5A that may function in translation initiation; similar to and functionally redundant with Anb1p; structural homolog of bacteria",90.117,57.188,3.3108,6.493727382,5.837640547,1.727179863,218,0.08522283,4.686182597,5.205917476
YDR155C,YDR155C,">YDR155C CPR1 SGDID:S000002562, Chr IV from 769000-768512, Genome Release 64-1-1, reverse complement, Verified ORF, Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline",24.303,25.411,27.316,4.603062508,4.667381246,4.771674334,219,0.085613761,4.680706029,5.200440909
YNL141W,YNL141W,">YNL141W AAH1 SGDID:S000005085, Chr XIV from 359596-360639, Genome Release 64-1-1, Verified ORF, Adenine deaminase (adenine aminohydrolase), converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and g",29.561,25.679,22.203,4.885623169,4.682517117,4.472682717,220,0.086004691,4.680274334,5.200009214
YDL044C,YDL044C,">YDL044C MTF2 SGDID:S000002202, Chr IV from 375289-373967, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial matrix protein that interacts with an N-terminal region of mitochondrial RNA polymerase (Rpo41p) and couples RNA processing a",33.882,45.489,10.904,5.082447132,5.507445815,3.446785562,221,0.086395622,4.678892836,5.198627716
YGR175C,YGR175C,">YGR175C ERG1 SGDID:S000003407, Chr VII from 848423-846933, Genome Release 64-1-1, reverse complement, Verified ORF, Squalene epoxidase, catalyzes the epoxidation of squalene to 2,3-oxidosqualene; plays an essential role in the ergosterol-biosynthesis pat",25.501,26.703,24.668,4.672481917,4.738929928,4.624568846,222,0.086786552,4.678660231,5.19839511
YKL110C,YKL110C,">YKL110C KTI12 SGDID:S000001593, Chr XI from 229880-228939, Genome Release 64-1-1, reverse complement, Verified ORF, Protein that plays a role, with Elongator complex, in modification of wobble nucleosides in tRNA; involved in sensitivity to G1 arrest ind",20.462,19.867,41.281,4.354875259,4.312302131,5.367406014,223,0.087177482,4.678194468,5.197929347
YPR041W,YPR041W,">YPR041W TIF5 SGDID:S000006245, Chr XVI from 648704-649921, Genome Release 64-1-1, Verified ORF, Translation initiation factor eIF5; functions both as a GTPase-activating protein to mediate hydrolysis of ribosome-bound GTP and as a GDP dissociation inhibi",26.35,18.805,33.588,4.719731057,4.233044401,5.069873988,224,0.087568413,4.674216482,5.193951361
YHR111W,YHR111W,">YHR111W UBA4 SGDID:S000001153, Chr VIII from 333072-334394, Genome Release 64-1-1, Verified ORF, Protein that activates Urm1p before its conjugation to proteins (urmylation); also acts in thiolation of the wobble base of cytoplasmic tRNAs by adenylating ",25.518,27.251,23.906,4.673443356,4.768237267,4.57930085,225,0.087959343,4.673660491,5.19339537
YLR324W,YLR324W,">YLR324W PEX30 SGDID:S000004316, Chr XII from 779215-780786, Genome Release 64-1-1, Verified ORF, Peroxisomal integral membrane protein, involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactio",39.116,19.28,22.009,5.289686943,4.269033146,4.460021691,226,0.088350274,4.672913927,5.192648806
YDL135C,YDL135C,">YDL135C RDI1 SGDID:S000002294, Chr IV from 219288-218680, Genome Release 64-1-1, reverse complement, Verified ORF, Rho GDP dissociation inhibitor involved in the localization and regulation of Cdc42p and Rho1p",23.275,32.04,22.188,4.540709263,5.001802243,4.471707725,227,0.088741204,4.67140641,5.19114129
YNL265C,YNL265C,">YNL265C IST1 SGDID:S000005209, Chr XIV from 145149-144280,145281-145255, Genome Release 64-1-1, reverse complement, Verified ORF, Protein with a positive role in the multivesicular body sorting pathway; functions and forms a complex with Did2p; recruitme",35.815,26.173,17.352,5.162492037,4.710007393,4.117030053,228,0.089132134,4.663176494,5.182911374
YOR305W,YOR305W,">YOR305W RRG7 SGDID:S000005832, Chr XV from 889022-889750, Genome Release 64-1-1, Verified ORF, Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; deletion confers sensitivity to 4-(N-(S-glutathiony",12.767,35.999,35.309,3.674347654,5.169884926,5.141964057,229,0.089523065,4.662065546,5.181800425
YLR389C,YLR389C,">YLR389C STE23 SGDID:S000004381, Chr XII from 902660-899577, Genome Release 64-1-1, reverse complement, Verified ORF, Metalloprotease involved, with homolog Axl1p, in N-terminal processing of pro-a-factor to the mature form; expressed in both haploids and",24.715,26.738,24.537,4.627315001,4.740819651,4.616886965,230,0.089913995,4.661673872,5.181408752
YPL260W,YPL260W,">YPL260W YPL260W SGDID:S000006181, Chr XVI from 49303-50958, Genome Release 64-1-1, Uncharacterized ORF, Putative substrate of cAMP-dependent protein kinase (PKA); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YPL2",22.256,26.967,26.707,4.47612242,4.75312313,4.739146022,231,0.090304926,4.656130524,5.175865403
YLR380W,YLR380W,">YLR380W CSR1 SGDID:S000004372, Chr XII from 878282-879508, Genome Release 64-1-1, Verified ORF, Phosphatidylinositol transfer protein with a potential role in regulating lipid and fatty acid metabolism under heme-depleted conditions; interacts specifical",26.084,27.919,21.988,4.70509322,4.803175363,4.458644479,232,0.090695856,4.655637687,5.175372567
YNL036W,YNL036W,">YNL036W NCE103 SGDID:S000004981, Chr XIV from 559814-560479, Genome Release 64-1-1, Verified ORF, Carbonic anhydrase; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; involved in non-classical protein e",62.756,33.511,7.6034,5.971681494,5.066562833,2.92664469,233,0.091086787,4.654963006,5.174697885
