Protein IDs,Majority protein IDs,First Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides MSZ20_S_1,Peptides MSZ20_S_2,Peptides MSZ20_S_3,Peptides MSZ20_S_4,Razor + unique peptides MSZ20_S_1,Razor + unique peptides MSZ20_S_2,Razor + unique peptides MSZ20_S_3,Razor + unique peptides MSZ20_S_4,Unique peptides MSZ20_S_1,Unique peptides MSZ20_S_2,Unique peptides MSZ20_S_3,Unique peptides MSZ20_S_4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L MSZ20_S_1,Ratio H/L MSZ20_S_2,Ratio H/L MSZ20_S_3,Ratio H/L MSZ20_S_4,Ratio H/L normalized MSZ20_S_1,Ratio H/L normalized MSZ20_S_2,Ratio H/L normalized MSZ20_S_3,Ratio H/L normalized MSZ20_S_4,Ratio H/L variability [%] MSZ20_S_1,Ratio H/L variability [%] MSZ20_S_2,Ratio H/L variability [%] MSZ20_S_3,Ratio H/L variability [%] MSZ20_S_4,Ratio H/L count MSZ20_S_1,Ratio H/L count MSZ20_S_2,Ratio H/L count MSZ20_S_3,Ratio H/L count MSZ20_S_4,Ratio H/L iso-count MSZ20_S_1,Ratio H/L iso-count MSZ20_S_2,Ratio H/L iso-count MSZ20_S_3,Ratio H/L iso-count MSZ20_S_4,Ratio H/L type MSZ20_S_1,Ratio H/L type MSZ20_S_2,Ratio H/L type MSZ20_S_3,Ratio H/L type MSZ20_S_4,Sequence coverage MSZ20_S_1 [%],Sequence coverage MSZ20_S_2 [%],Sequence coverage MSZ20_S_3 [%],Sequence coverage MSZ20_S_4 [%],Intensity,Intensity L,Intensity H,Intensity MSZ20_S_1,Intensity L MSZ20_S_1,Intensity H MSZ20_S_1,Intensity MSZ20_S_2,Intensity L MSZ20_S_2,Intensity H MSZ20_S_2,Intensity MSZ20_S_3,Intensity L MSZ20_S_3,Intensity H MSZ20_S_3,Intensity MSZ20_S_4,Intensity L MSZ20_S_4,Intensity H MSZ20_S_4,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
YGR193C,YGR193C,YGR193C,7,7,7,"YGR193C PDX1 SGDID:S000003425, Chr VII from 885741-884509, Genome Release 64-2-1, reverse complement, Verified ORF, E3-binding protein of the mitochondrial pyruvate dehydrogenase complex; plays a structural role in the complex by binding and positioning d",1,7,7,7,5,3,4,2,5,3,4,2,5,3,4,2,26.3,26.3,26.3,45.361,410,410,0,77.329,0.044508,0.067433,122.33,10,9,Median,0.044496,0.139,0.044521,NaN,0.06163,0.34296,0.073782,NaN,126.2,170.76,124.67,NaN,3,3,3,1,3,2,3,1,Median,Median,Median,Median,19.5,10.2,17.3,6.8,2969000,2895300,73728,907060,884740,22314,643040,618780,24260,1071100,1048800,22322,347810,342980,4832,,,,582,454;1467;2663;4274;5029;5130;7595,True;True;True;True;True;True;True,455;1470;2672;4288;5050;5151;7640,1238;1239;3952;7123;7124;11333;11334;11335;11336;13291;13552;19933;19934;19935,2520;2521;7696;13564;13565;21715;21716;21717;21718;21719;21720;25210;25211;25638;37358;37359;37360;37361;37362,2521;7696;13564;21717;25211;25638;37359,,,-1
YGR195W,YGR195W,YGR195W,2,2,2,"YGR195W SKI6 SGDID:S000003427, Chr VII from 888882-889622, Genome Release 64-2-1, Verified ORF, Exosome non-catalytic core component; involved in 3-5 RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase P",1,2,2,2,0,0,0,2,0,0,0,2,0,0,0,2,7.7,7.7,7.7,27.56,246,246,0.0032284,2.6657,0.12267,0.21916,78.716,2,2,Median,NaN,NaN,NaN,0.12267,NaN,NaN,NaN,0.21916,NaN,NaN,NaN,78.716,0,0,0,2,0,0,0,2,Median,Median,Median,Median,0,0,0,7.7,127500,113400,14102,0,0,0,0,0,0,0,0,0,127500,113400,14102,,,,583,4520;5166,True;True,4534;5187,11949;13638,22757;25784,22757;25784,,,-1
YGR198W,YGR198W,YGR198W,2,2,2,"YGR198W YPP1 SGDID:S000003430, Chr VII from 894693-897146, Genome Release 64-2-1, Verified ORF, Cargo-transport protein involved in endocytosis; interacts with phosphatidylinositol-4-kinase Stt4p; is required, along with Efr3p, for the assembly and recrui",1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,2.8,2.8,2.8,95.365,817,817,0.0069391,2.2785,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,1,0,0,0,Median,Median,Median,Median,2.8,0,0,0,37127,33411,3716,37127,33411,3716,0,0,0,0,0,0,0,0,0,,,,584,2049;2568,True;True,2057;2577,5532;6885,10636;13122,10636;13122,,,-1
YGR200C,YGR200C,YGR200C,5,5,5,"YGR200C ELP2 SGDID:S000003432, Chr VII from 902270-899904, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of Elongator complex; Elongator is required for modification of wobble nucleosides in tRNA; target of Kluyveromyces lactis zymocin",1,5,5,5,2,2,4,1,2,2,4,1,2,2,4,1,9,9,9,89.409,788,788,0,5.2985,0.1858,0.2639,74.521,7,7,Median,0.20484,NaN,0.16064,NaN,0.39365,NaN,0.2639,NaN,56.682,NaN,115.91,NaN,2,1,3,1,2,1,3,1,Median,Median,Median,Median,3,2.7,7,1,601630,542780,58848,182810,161890,20920,89320,83212,6108,264180,239830,24354,65315,57849,7466,,,,585,686;2377;2609;6487;6804,True;True;True;True;True,688;2386;2618;6523;6840,1923;1924;6414;7007;7008;7009;7010;17044;17817,4000;4001;12419;13383;13384;13385;13386;31943;33262,4001;12419;13386;31943;33262,,,-1
YGR204W,YGR204W,YGR204W,30,30,27,"YGR204W ADE3 SGDID:S000003436, Chr VII from 905934-908774, Genome Release 64-2-1, Verified ORF, Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase; involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, meth",1,30,30,27,17,20,18,21,17,20,18,21,15,18,16,20,40.9,40.9,38.3,102.2,946,946,0,323.31,0.049218,0.67775,167.09,70,63,Leave out requantified,0.075838,0.070545,0.074252,0.070064,0.99422,0.43903,0.59327,1.0361,115.19,95.301,64.882,84.838,17,19,17,17,16,17,15,15,Median,Median,Median,Median,25.4,26.4,20.9,29.2,42337000,39599000,2738400,10439000,9699400,739610,10035000,9337100,698120,9662100,9031000,631150,12201000,11531000,669490,,,,586,30;461;660;1305;2391;2678;2936;3225;4885;4927;5253;5289;5574;5627;6116;6176;6326;6404;6508;6743;6916;6965;7056;7117;7838;7902;8046;8674;8721;9035,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,30;462;662;1307;2400;2687;2946;3236;4906;4948;5274;5310;5603;5656;6149;6209;6360;6439;6544;6779;6952;7002;7094;7158;7884;7949;8096;8729;8777;9092,93;94;1254;1255;1256;1859;1860;3498;3499;6470;6471;6472;7160;7818;7819;7820;8616;8617;8618;8619;12890;12985;12986;12987;12988;13876;13877;13966;14696;14697;14698;14699;14831;14832;14833;16077;16240;16637;16638;16639;16640;16827;16828;16829;17097;17098;17099;17100;17101;17655;17656;17657;18102;18237;18238;18473;18474;18629;18630;18631;20582;20583;20584;20585;20749;20750;20751;21152;21153;21154;22865;22866;23013;23014;23015;23861;23862;23863;23864,204;205;2545;2546;2547;2548;2549;2550;2551;3883;3884;6782;6783;6784;12499;12500;12501;12502;12503;13624;14834;14835;14836;14837;16411;16412;16413;16414;16415;16416;16417;24480;24648;24649;24650;24651;24652;24653;26233;26234;26399;26400;26401;27709;27710;27711;27712;27713;27714;27947;27948;27949;30184;30447;30448;31181;31182;31183;31184;31185;31526;31527;31528;31529;31530;31531;31532;31533;31534;31535;32046;32047;32048;32049;32050;32051;32052;32053;32955;32956;32957;32958;32959;32960;32961;32962;33758;33998;33999;34000;34483;34484;34803;34804;34805;38728;38729;38730;38731;38732;38733;38734;38735;38736;38737;38738;38739;38740;39068;39069;39070;39071;39072;39073;39074;39959;39960;39961;39962;43431;43432;43758;43759;43760;43761;45467;45468;45469;45470;45471;45472;45473;45474;45475,204;2551;3884;6784;12502;13624;14835;16412;24480;24653;26233;26401;27714;27947;30184;30448;31185;31531;32052;32957;33758;33998;34483;34804;38736;39069;39961;43432;43761;45468,,,-1
YGR207C,YGR207C,YGR207C,4,4,4,"YGR207C CIR1 SGDID:S000003439, Chr VII from 911628-910843, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial protein that interacts with frataxin (Yfh1p); putative ortholog of mammalian electron transfer flavoprotein complex subunit E",1,4,4,4,2,3,3,2,2,3,3,2,2,3,3,2,19.5,19.5,19.5,28.758,261,261,0,7.793,0.42611,3.1087,170.68,8,8,Plateau,0.22377,0.19564,0.26615,1.0237,0.84592,0.6575,1.1192,5.8001,143.1,112.17,245.32,229.78,2,2,2,2,2,2,2,2,Median,Median,Median,Median,10.7,16.5,14.9,10.3,1249500,807500,441970,258870,241070,17800,194640,183740,10898,327360,181770,145590,468590,200920,267680,,,,587,880;2638;7078;8191,True;True;True;True,882;2647;7118;8242,2417;2418;2419;7067;7068;7069;18526;18527;18528;21580,4910;4911;4912;4913;13486;13487;13488;34577;34578;34579;34580;40867,4910;13486;34580;40867,,,-1
YGR209C,YGR209C,YGR209C,5,4,4,"YGR209C TRX2 SGDID:S000003441, Chr VII from 913227-912913, Genome Release 64-2-1, reverse complement, Verified ORF, Cytoplasmic thioredoxin isoenzyme; part of thioredoxin system which protects cells against oxidative and reductive stress; forms LMA1 compl",1,5,4,4,5,5,4,4,4,4,3,4,4,4,3,4,58.7,49,49,11.204,104,104,0,323.31,0.086761,0.33877,28.836,15,14,Median,0.083142,0.089348,0.076528,0.089347,0.38509,0.22546,0.33877,0.36023,21.811,17.162,23.506,21.564,4,4,3,4,3,4,3,4,Median,Median,Median,Median,58.7,58.7,46.2,49,49630000,46106000,3524500,13243000,12285000,958090,13793000,12794000,998850,9180000,8576000,604050,13415000,12451000,963480,,,,588,148;2288;4476;6697;8690,True;True;True;True;False,148;2296;4490;6733;8745,441;442;443;6173;6174;6175;6176;11819;11820;11821;11822;11823;17535;17536;17537;17538;22914;22915;22916,945;946;947;948;949;950;951;952;953;954;955;956;11928;11929;11930;11931;11932;11933;11934;11935;11936;11937;11938;11939;11940;11941;11942;22514;22515;22516;22517;22518;22519;22520;22521;22522;22523;22524;22525;22526;22527;22528;22529;22530;22531;22532;22533;22534;22535;32746;32747;32748;32749;32750;32751;32752;32753;32754;32755;32756;32757;32758;32759;32760;32761;32762;32763;32764;32765;32766;32767;32768;32769;32770;32771;43532;43533;43534;43535;43536;43537;43538;43539;43540,950;11934;22534;32748;43533,,,-1
YGR211W,YGR211W,YGR211W,10,10,10,"YGR211W ZPR1 SGDID:S000003443, Chr VII from 915241-916701, Genome Release 64-2-1, Verified ORF, Essential protein with two zinc fingers; present in the nucleus of growing cells but relocates to the cytoplasm in starved cells via a process mediated by Cpr1",1,10,10,10,5,6,6,6,5,6,6,6,5,6,6,6,28,28,28,55.071,486,486,0,122.78,0.1002,0.72087,131.48,23,15,Leave out requantified,0.097806,0.09792,0.10384,0.12963,0.93051,0.73999,0.99263,1.3086,124.83,96.955,110.12,34.804,5,6,6,6,4,4,4,3,Median,Median,Median,Leave out requantified,14.2,15.8,17.5,16.7,5511300,4930400,580840,1193000,1081500,111430,1198100,1088700,109470,1558000,1411400,146650,1562200,1348900,213290,,,,589,1495;2685;3488;3639;4849;6611;6927;7498;7725;8316,True;True;True;True;True;True;True;True;True;True,1498;2694;3499;3650;4869;6647;6963;7542;7771;8368,4018;4019;7172;7173;7174;7175;9276;9682;9683;9684;9685;12793;17353;17354;17355;18135;19671;19672;19673;19674;20307;21909;21910,7785;7786;7787;13637;13638;13639;13640;13641;17720;18484;18485;18486;18487;18488;18489;18490;18491;24266;32456;32457;32458;33809;36852;36853;36854;36855;36856;36857;36858;36859;38193;41545;41546;41547,7786;13637;17720;18486;24266;32458;33809;36859;38193;41545,,,-1
YGR214W,YGR214W,YGR214W,9,1,1,"YGR214W RPS0A SGDID:S000003446, Chr VII from 920575-920664,921120-921788, Genome Release 64-2-1, Verified ORF, Ribosomal 40S subunit protein S0A; required for maturation of 18S rRNA along with Rps0Bp; deletion of either RPS0 gene reduces growth rate, dele",1,9,1,1,6,8,8,8,1,1,1,1,1,1,1,1,55.2,9.5,9.5,28.024,252,252,0,105.51,0.11128,0.9421,38.379,4,4,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,Median,Median,Median,Median,37.3,44.8,52,44.8,2100000,1910500,189470,535280,483920,51356,529210,481700,47510,524740,484780,39958,510750,460100,50650,,,,590,1161;2278;2676;3697;5296;6077;6128;7059;7895,True;False;False;False;False;False;False;False;False,1163;2286;2685;3708;5317;6109;6161;7097;7941;7942,3165;3166;3167;3168;6143;6144;6145;6146;7155;7156;7157;7158;9837;9838;9839;9840;13983;13984;15964;15965;15966;15967;15968;15969;15970;15971;16111;16112;16113;16114;16115;18478;20727;20728;20729;20730;20731;20732,6220;6221;6222;6223;6224;6225;6226;6227;6228;6229;6230;11864;11865;11866;11867;11868;11869;11870;11871;11872;11873;11874;11875;13609;13610;13611;13612;13613;13614;13615;13616;13617;13618;13619;13620;13621;13622;18858;18859;18860;18861;18862;18863;18864;18865;18866;18867;18868;18869;18870;18871;26426;26427;26428;26429;26430;26431;26432;26433;26434;26435;26436;29958;29959;29960;29961;29962;29963;29964;29965;29966;29967;29968;29969;29970;29971;29972;29973;29974;29975;29976;29977;30240;30241;30242;30243;30244;30245;30246;30247;30248;30249;30250;34488;39022;39023;39024;39025;39026;39027;39028;39029;39030;39031;39032;39033;39034;39035;39036;39037;39038;39039;39040;39041;39042;39043,6221;11874;13618;18863;26433;29965;30248;34488;39024,,,-1
YGR218W,YGR218W,YGR218W,11,11,11,"YGR218W CRM1 SGDID:S000003450, Chr VII from 932541-935795, Genome Release 64-2-1, Verified ORF, Major karyopherin; involved in export of proteins, RNAs, and ribosomal subunits from the nucleus; exportin",1,11,11,11,5,8,5,5,5,8,5,5,5,8,5,5,12.7,12.7,12.7,124.1,1084,1084,0,24.222,0.11218,0.7482,111.35,19,18,Median,0.12362,0.11123,0.11215,0.10279,1.339,0.46673,0.8598,0.43372,87.141,100.91,158.69,106.34,4,7,4,4,3,7,4,4,Linear,Median,Median,Median,5.4,9.5,4.6,4.4,3609800,3172300,437500,725160,667540,57620,1168000,1076700,91300,881560,659620,221940,835110,768460,66644,,,,591,371;1594;2162;2603;3924;4762;4879;5439;6748;6834;7937,True;True;True;True;True;True;True;True;True;True;True,372;1597;2170;2612;3937;4781;4900;5464;6784;6870;7986,1038;1039;1040;1041;4296;5810;6988;6989;6990;6991;10437;10438;10439;10440;12607;12608;12876;14355;17664;17665;17893;20843;20844,2132;2133;2134;2135;2136;2137;2138;2139;8331;11212;13356;13357;13358;13359;13360;13361;13362;13363;13364;20077;20078;20079;20080;23961;23962;23963;24455;27152;32969;32970;33406;39274;39275,2139;8331;11212;13357;20080;23963;24455;27152;32970;33406;39274,,,-1
YGR229C,YGR229C,YGR229C,3,3,3,"YGR229C SMI1 SGDID:S000003461, Chr VII from 950899-949382, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in the regulation of cell wall synthesis; proposed to be involved in coordinating cell cycle progression with cell wall in",1,3,3,3,2,0,2,0,2,0,2,0,2,0,2,0,8.5,8.5,8.5,57.079,505,505,0,4.322,0.12474,0.51803,41.002,4,4,Median,0.12526,NaN,0.11544,NaN,0.60939,NaN,0.43973,NaN,44.501,NaN,44.705,NaN,2,0,2,0,2,0,2,0,Median,Median,Median,Median,4.8,0,6.3,0,548180,497750,50428,327430,298920,28510,0,0,0,220740,198830,21918,0,0,0,,,,592,7113;7193;7196,True;True;True,7154;7234;7237,18619;18620;18814;18817,34770;34771;35110;35111;35114,34770;35111;35114,,,-1
YGR231C,YGR231C,YGR231C,5,5,5,"YGR231C PHB2 SGDID:S000003463, Chr VII from 953480-952548, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes",1,5,5,5,2,3,0,4,2,3,0,4,2,3,0,4,17.7,17.7,17.7,34.406,310,310,0,7.9152,0.055596,0.53086,151.48,9,7,Median,0.052641,0.062652,NaN,0.067244,0.28028,1.3464,NaN,0.33976,90.327,124.19,NaN,208.88,2,3,0,4,2,1,0,4,Median,Plateau,Median,Median,9,11,0,14.8,1588900,1392300,196580,290630,274670,15962,634040,583450,50597,0,0,0,664200,534180,130020,,,,593,3776;6667;7756;8357;8433,True;True;True;True;True,3787;6703;7802;8410;8487,10028;10029;17472;20375;22012;22013;22014;22245;22246,19221;19222;32633;38322;41732;41733;41734;42281;42282,19222;32633;38322;41734;42281,,,-1
YGR232W,YGR232W,YGR232W,2,2,2,"YGR232W NAS6 SGDID:S000003464, Chr VII from 953960-954646, Genome Release 64-2-1, Verified ORF, Assembly chaperone for the 19S proteasome regulatory particle base; proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S p",1,2,2,2,1,0,2,1,1,0,2,1,1,0,2,1,8.3,8.3,8.3,25.616,228,228,0.001642,2.8304,0.26604,1.0504,57.63,4,4,Median,NaN,NaN,0.23662,NaN,NaN,NaN,1.0504,NaN,NaN,NaN,0.40505,NaN,1,0,2,1,1,0,2,1,Median,Median,Median,Median,4.8,0,8.3,3.5,569330,436170,133160,91754,74764,16990,0,0,0,313120,257600,55516,164460,103810,60652,,,,594,6704;8979,True;True,6740;9036,17552;17553;23699;23700,32788;32789;45120;45121,32789;45121,,,-1
YGR234W,YGR234W,YGR234W,11,11,11,"YGR234W YHB1 SGDID:S000003466, Chr VII from 959904-961103, Genome Release 64-2-1, Verified ORF, Nitric oxide oxidoreductase; flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses; protein i",1,11,11,11,6,7,9,7,6,7,9,7,6,7,9,7,38.1,38.1,38.1,44.646,399,399,0,111.76,0.096926,0.21393,58.532,20,17,Median,0.089687,0.11413,0.098639,0.082717,0.1893,0.18808,0.2647,0.2082,89.174,52.888,42.893,52.67,5,5,6,4,5,4,5,3,Median,Median,Median,Median,25.6,23.8,27.3,23.1,10124000,9789400,334700,2318700,2258900,59776,1815500,1748600,66852,2586700,2485100,101580,3403200,3296700,106490,,,,595,387;622;1934;2271;2440;3759;5114;5572;5573;6133;8270,True;True;True;True;True;True;True;True;True;True;True,388;624;1942;2279;2449;3770;5135;5601;5602;6166;8322,1081;1082;1083;1719;1720;1721;5228;5229;5230;5231;6120;6121;6122;6123;6585;9990;9991;13506;13507;13508;13509;14687;14688;14689;14690;14691;14692;14693;14694;14695;16127;21803,2230;2231;2232;2233;3584;3585;3586;3587;3588;3589;3590;10042;10043;10044;10045;10046;10047;10048;10049;11817;11818;11819;11820;12676;19154;19155;25571;25572;25573;25574;25575;25576;25577;27700;27701;27702;27703;27704;27705;27706;27707;27708;30267;41348,2233;3588;10048;11820;12676;19154;25577;27700;27706;30267;41348,,,-1
YGR240C,YGR240C,YGR240C,26,26,26,"YGR240C PFK1 SGDID:S000003472, Chr VII from 973734-970771, Genome Release 64-2-1, reverse complement, Verified ORF, Alpha subunit of heterooctameric phosphofructokinase; involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6",1,26,26,26,19,21,20,23,19,21,20,23,19,21,20,23,34.7,34.7,34.7,107.97,987,987,0,323.31,0.047466,0.54853,57.411,75,72,Median,0.040075,0.047466,0.042531,0.059127,0.46504,0.38462,0.55894,0.73878,44.421,62.692,45.987,53.376,18,17,19,21,18,15,18,21,Median,Median,Median,Median,26.2,28.2,27.8,30.9,66142000,62844000,3298000,16593000,15979000,614150,14855000,14093000,761450,16258000,15257000,1001300,18436000,17515000,921080,,,,596,146;563;667;805;1169;1268;1490;1577;2212;2461;3313;3330;3478;3521;3655;4928;5120;5132;5385;5513;5685;5918;6947;7328;7456;8805,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,146;565;669;807;1171;1270;1493;1580;2220;2470;3324;3341;3489;3532;3666;4949;5141;5153;5408;5541;5714;5950;6983;7370;7500;8861,433;434;435;436;1542;1543;1544;1545;1878;2230;2231;2232;3187;3188;3189;3190;3420;4001;4002;4003;4004;4246;5941;5942;5943;5944;6635;6636;8830;8831;8832;8882;8883;8884;8885;9253;9254;9255;9352;9725;9726;9727;9728;12989;12990;12991;12992;12993;12994;12995;13524;13525;13526;13527;13556;13557;14222;14223;14224;14225;14536;14537;14538;14539;14972;14973;14974;14975;15561;15562;15563;15564;18181;18182;18183;18184;19187;19188;19189;19190;19545;19546;19547;19548;19549;19550;19551;19552;23239;23240;23241;23242,916;917;918;919;920;921;922;923;924;3236;3237;3238;3239;3920;4589;4590;4591;4592;4593;4594;4595;4596;4597;4598;4599;6263;6264;6265;6266;6267;6268;6269;6270;6668;7763;7764;7765;7766;7767;8236;11463;11464;11465;11466;11467;11468;12766;12767;16820;16821;16822;16823;16824;16825;16826;16827;16940;16941;16942;16943;16944;16945;16946;16947;16948;16949;16950;16951;17684;17685;17686;17687;17688;17860;17861;17862;18558;18559;18560;18561;18562;18563;18564;18565;24654;24655;24656;24657;24658;24659;24660;24661;24662;24663;25597;25598;25599;25600;25601;25602;25603;25604;25605;25606;25642;25643;25644;25645;25646;25647;26956;26957;26958;26959;27465;27466;27467;27468;27469;27470;27471;27472;28181;28182;28183;28184;28185;28186;28187;28188;29208;29209;29210;29211;29212;29213;29214;29215;29216;29217;29218;29219;33886;33887;33888;33889;33890;33891;33892;33893;33894;33895;35831;35832;35833;35834;35835;35836;35837;35838;35839;36555;36556;36557;36558;36559;36560;36561;36562;36563;36564;36565;36566;36567;36568;44269;44270;44271;44272,922;3239;3920;4598;6264;6668;7765;8236;11465;12766;16821;16944;17685;17862;18563;24655;25601;25643;26959;27472;28182;29210;33891;35833;36566;44271,,,-1
YGR244C,YGR244C,YGR244C,7,7,7,"YGR244C LSC2 SGDID:S000003476, Chr VII from 979319-978036, Genome Release 64-2-1, reverse complement, Verified ORF, Beta subunit of succinyl-CoA ligase; succinyl-CoA ligase is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent",1,7,7,7,2,6,5,1,2,6,5,1,2,6,5,1,21.1,21.1,21.1,46.9,427,427,0,20.614,0.16429,1.2011,125.92,13,12,Median,0.28498,0.11652,0.19823,NaN,1.5587,0.60223,1.5196,NaN,188.01,127.62,105.17,NaN,2,5,5,1,1,5,5,1,Median,Median,Median,Median,6.6,18.5,16.9,4,2780800,2231400,549370,365870,237190,128680,1115000,953120,161880,1102100,938420,163640,197840,102670,95170,,,,597,1082;2243;2413;2912;6908;7032;7069,True;True;True;True;True;True;True,1084;2251;2422;2922;6944;7070;7107,2940;6030;6031;6519;6520;7752;7753;18082;18083;18084;18085;18420;18421;18501,5809;11620;11621;12569;12570;14705;14706;33736;33737;33738;33739;34403;34404;34515,5809;11620;12570;14706;33736;34403;34515,,,-1
YGR253C,YGR253C,YGR253C,8,8,8,"YGR253C PUP2 SGDID:S000003485, Chr VII from 999140-998358, Genome Release 64-2-1, reverse complement, Verified ORF, Alpha 5 subunit of the 20S proteasome; involved in ubiquitin-dependent catabolism; human homolog is subunit zeta",1,8,8,8,4,2,1,5,4,2,1,5,4,2,1,5,40.4,40.4,40.4,28.617,260,260,0,65.309,0.14947,0.94584,76.953,9,8,Median,0.14947,0.090736,NaN,0.21119,1.3221,0.489,NaN,0.94584,66.854,108.98,NaN,93.766,3,2,1,3,3,2,1,2,Plateau,Median,Median,Median,21.9,8.1,3.5,23.8,3368600,3210700,157910,585250,537620,47630,356260,328280,27976,289440,282840,6606,2137700,2062000,75695,,,,599,276;616;1674;1774;2411;3234;4588;4670,True;True;True;True;True;True;True;True,277;618;1678;1780;2420;3245;4602;4686,768;1705;4517;4518;4783;6515;8641;12117;12118;12119;12359;12360,1587;3551;8712;8713;9215;12565;16456;16457;23047;23048;23049;23446;23447;23448,1587;3551;8712;9215;12565;16456;23047;23448,,,-1
