Majority protein IDs,First Majority protein IDs,Fasta headers,Ratio H/L MSZ08-1_Sol,Ratio H/L MSZ08-2_Sol,Ratio H/L MSZ08-3_Sol,Log2 Ratio H/L MSZ08-1_Sol,Log2 Ratio H/L MSZ08-2_Sol,Log2 Ratio H/L MSZ08-3_Sol,rank,%rank,Average Log2 Ratio H/L Sol,Average after TCL Median correction
YGL014W,YGL014W,">YGL014W PUF4 SGDID:S000002982, Chr VII from 466141-468807, Genome Release 64-1-1, Verified ORF, Member of the PUF protein family, which is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs en",0.17152,0.14928,0.11462,-2.543551284,-2.743907204,-3.125069294,465,0.171144645,-2.804175927,-2.284441048
YDL106C,YDL106C,">YDL106C PHO2 SGDID:S000002264, Chr IV from 271901-270222, Genome Release 64-1-1, reverse complement, Verified ORF, Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO",0.11416,0.24633,0.10453,-3.130870855,-2.021335754,-3.258011041,466,0.171512698,-2.803405883,-2.283671004
YBR095C,YBR095C,">YBR095C RXT2 SGDID:S000000299, Chr II from 435698-434406, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth",0.13295,0.1655,0.13391,-2.911044318,-2.595096878,-2.900664394,467,0.171880751,-2.80226853,-2.282533651
YEL018W,YEL018W,">YEL018W EAF5 SGDID:S000000744, Chr V from 121471-122310, Genome Release 64-1-1, Verified ORF, Esa1p-associated factor, non-essential subunit of the NuA4 acetyltransferase complex",0.21491,0.12871,0.10942,-2.21819548,-2.957803948,-3.192051634,468,0.172248804,-2.789350354,-2.269615475
YJR133W,YJR133W,">YJR133W XPT1 SGDID:S000003894, Chr X from 672991-673620, Genome Release 64-1-1, Verified ORF, Xanthine-guanine phosphoribosyl transferase, required for xanthine utilization and for optimal utilization of guanine",0.088431,0.21809,0.15704,-3.499303986,-2.197004475,-2.670796017,469,0.172616857,-2.789034826,-2.269299947
YOR165W,YOR165W,">YOR165W SEY1 SGDID:S000005691, Chr XV from 644566-646896, Genome Release 64-1-1, Verified ORF, GTPase with a role in ER morphology; interacts physically and genetically with Yop1p and Rtn1p; possible functional ortholog of mammalian atlastins, defects in",0.14432,0.14237,0.14767,-2.792656851,-2.812282919,-2.759551331,470,0.17298491,-2.7881637,-2.268428821
YHR121W,YHR121W,">YHR121W LSM12 SGDID:S000001163, Chr VIII from 352756-353319, Genome Release 64-1-1, Verified ORF, Protein of unknown function that may function in RNA processing; interacts with Pbp1p and Pbp4p and associates with ribosomes; contains an RNA-binding LSM d",0.023957,0.086146,1.4759,-5.383408931,-3.53707238,0.561594975,471,0.173352963,-2.786295446,-2.266560566
YKL079W,YKL079W,">YKL079W SMY1 SGDID:S000001562, Chr XI from 286603-288573, Genome Release 64-1-1, Verified ORF, Protein that interacts with Myo2p, proposed to be involved in exocytosis; N-terminal domain is related to the motor domain of kinesins",0.13602,0.14525,0.1576,-2.878109298,-2.783389931,-2.66566056,472,0.173721016,-2.77571993,-2.25598505
YIL053W,YIL053W,">YIL053W RHR2 SGDID:S000001315, Chr IX from 255115-255867, Genome Release 64-1-1, Verified ORF, Constitutively expressed isoform of DL-glycerol-3-phosphatase; involved in glycerol biosynthesis, induced in response to both anaerobic and, along with the Hor",0.15197,0.16077,0.12819,-2.718141542,-2.636929873,-2.963644372,473,0.174089069,-2.772905262,-2.253170383
YDR044W,YDR044W,">YDR044W HEM13 SGDID:S000002451, Chr IV from 546642-547628, Genome Release 64-1-1, Verified ORF, Coproporphyrinogen III oxidase, an oxygen requiring enzyme that catalyzes the sixth step in the heme biosynthetic pathway; transcription is repressed by oxyge",0.19504,0.1085,0.14847,-2.358158064,-3.204233052,-2.751756647,474,0.174457122,-2.771382588,-2.251647708
YBR081C,YBR081C,">YBR081C SPT7 SGDID:S000000285, Chr II from 405251-401253, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of the SAGA transcriptional regulatory complex, involved in proper assembly of the complex; also present as a C-terminally truncate",0.16616,0.13802,0.13721,-2.589354974,-2.857050757,-2.865542465,475,0.174825175,-2.770649398,-2.250914519
YNL265C,YNL265C,">YNL265C IST1 SGDID:S000005209, Chr XIV from 145149-144280,145281-145255, Genome Release 64-1-1, reverse complement, Verified ORF, Protein with a positive role in the multivesicular body sorting pathway; functions and forms a complex with Did2p; recruitme",0.11735,0.16094,0.16757,-3.091110253,-2.635405157,-2.577164208,476,0.175193228,-2.767893206,-2.248158327
YGL227W,YGL227W,">YGL227W VID30 SGDID:S000003196, Chr VII from 69671-72547, Genome Release 64-1-1, Verified ORF, Protein involved in proteasome-dependent catabolite degradation of fructose-1,6-bisphosphatase (FBPase); binds FBPase; shifts the balance of nitrogen metabolis",0.10785,0.14853,0.19911,-3.212901918,-2.75117374,-2.328362415,477,0.175561281,-2.764146024,-2.244411145
YDR087C,YDR087C,">YDR087C RRP1 SGDID:S000002494, Chr IV from 618306-617470, Genome Release 64-1-1, reverse complement, Verified ORF, Essential evolutionarily conserved nucleolar protein necessary for biogenesis of 60S ribosomal subunits and processing of pre-rRNAs to matu",0.19829,0.113,0.14265,-2.334316172,-3.145605322,-2.809448348,478,0.175929334,-2.763123281,-2.243388402
YPL084W,YPL084W,">YPL084W BRO1 SGDID:S000006005, Chr XVI from 394038-396572, Genome Release 64-1-1, Verified ORF, Cytoplasmic class E vacuolar protein sorting (VPS) factor that coordinates deubiquitination in the multivesicular body (MVB) pathway by recruiting Doa4p to en",0.14978,0.17652,0.12155,-2.7390831,-2.502096442,-3.040378202,479,0.176297387,-2.760519248,-2.240784369
YKL032C,YKL032C,">YKL032C IXR1 SGDID:S000001515, Chr XI from 381858-380065, Genome Release 64-1-1, reverse complement, Verified ORF, Protein that binds DNA containing intrastrand cross-links formed by cisplatin, contains two HMG (high mobility group box) domains, which co",0.15065,0.17757,0.1212,-2.730727422,-2.493540232,-3.044538396,480,0.17666544,-2.756268683,-2.236533804
YDR407C,YDR407C,">YDR407C TRS120 SGDID:S000002815, Chr IV from 1287938-1284069, Genome Release 64-1-1, reverse complement, Verified ORF, One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involv",0.06294,0.17937,0.28858,-3.989879011,-2.478989478,-1.792956777,481,0.177033493,-2.753941756,-2.234206876
YGR271C-A,YGR271C-A,">YGR271C-A EFG1 SGDID:S000007608, Chr VII from 1038501-1037800, Genome Release 64-1-1, reverse complement, Verified ORF, Essential protein required for maturation of 18S rRNA; null mutant is sensitive to hydroxyurea and is delayed in recovering from alpha",0.11331,0.29045,0.099242,-3.141652905,-1.783638265,-3.33290538,482,0.177401546,-2.752732183,-2.232997304
YPL151C,YPL151C,">YPL151C PRP46 SGDID:S000006072, Chr XVI from 267535-266180, Genome Release 64-1-1, reverse complement, Verified ORF, Member of the NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5",0.16138,0.1154,0.17598,-2.6314663,-3.115284871,-2.506516618,483,0.177769599,-2.751089263,-2.231354384
YAL039C,YAL039C,">YAL039C CYC3 SGDID:S000000037, Chr I from 69525-68716, Genome Release 64-1-1, reverse complement, Verified ORF, Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane spa",0.1008,0.17309,0.18838,-3.310432456,-2.530405717,-2.40828229,484,0.178137652,-2.749706821,-2.229971942
YOL022C,YOL022C,">YOL022C TSR4 SGDID:S000005382, Chr XV from 281498-280272, Genome Release 64-1-1, reverse complement, Verified ORF, Cytoplasmic protein required for correct processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; essential gene in S288C back",0.14549,0.15234,0.14871,-2.781008099,-2.714633294,-2.74942643,485,0.178505705,-2.748355941,-2.228621062
YJR032W,YJR032W,">YJR032W CPR7 SGDID:S000003793, Chr X from 491081-492262, Genome Release 64-1-1, Verified ORF, Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds to Hsp82p and co",0.16712,0.12459,0.15839,-2.581043697,-3.004739817,-2.658446842,486,0.178873758,-2.748076785,-2.228341906
YBL105C,YBL105C,">YBL105C PKC1 SGDID:S000000201, Chr II from 17696-14241, Genome Release 64-1-1, reverse complement, Verified ORF, Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daugh",0.070308,0.16277,0.28898,-3.830167334,-2.619093273,-1.790958446,487,0.179241811,-2.746739684,-2.227004805
YMR220W,YMR220W,">YMR220W ERG8 SGDID:S000004833, Chr XIII from 712316-713671, Genome Release 64-1-1, Verified ORF, Phosphomevalonate kinase, an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate",0.13232,0.15321,0.16328,-2.917896955,-2.70641763,-2.614580007,488,0.179609864,-2.746298198,-2.226563318
YCR093W,YCR093W,">YCR093W CDC39 SGDID:S000000689, Chr III from 280117-286443, Genome Release 64-1-1, Verified ORF, Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deaden",1.0356,0.042475,0.075753,0.05046687,-4.557242242,-3.722553166,489,0.179977917,-2.743109513,-2.223374633
YDR507C,YDR507C,">YDR507C GIN4 SGDID:S000002915, Chr IV from 1465786-1462358, Genome Release 64-1-1, reverse complement, Verified ORF, Protein kinase involved in bud growth and assembly of the septin ring, proposed to have kinase-dependent and kinase-independent activitie",0.1177,0.15891,0.17817,-3.086813775,-2.65371818,-2.488673656,490,0.18034597,-2.743068537,-2.223333658
YHR114W,YHR114W,">YHR114W BZZ1 SGDID:S000001156, Chr VIII from 338083-339984, Genome Release 64-1-1, Verified ORF, SH3 domain protein implicated in the regulation of actin polymerization, able to recruit actin polymerization machinery through its SH3 domains, colocalizes ",0.17317,0.2191,0.088624,-2.529739076,-2.190338611,-3.496158746,491,0.180714023,-2.738745478,-2.219010598
YGL201C,YGL201C,">YGL201C MCM6 SGDID:S000003169, Chr VII from 120907-117854, Genome Release 64-1-1, reverse complement, Verified ORF, Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative compl",0.14619,0.15505,0.14839,-2.774083467,-2.689194569,-2.752534223,492,0.181082076,-2.738604086,-2.218869207
YBR130C,YBR130C,">YBR130C SHE3 SGDID:S000000334, Chr II from 496869-495592, Genome Release 64-1-1, reverse complement, Verified ORF, Protein that acts as an adaptor between Myo4p and the She2p-mRNA complex; part of the mRNA localization machinery that restricts accumulati",0.14336,0.14787,0.15868,-2.802285552,-2.757598708,-2.655807792,493,0.181450129,-2.738564018,-2.218829138
YFL023W,YFL023W,">YFL023W BUD27 SGDID:S000001871, Chr VI from 90986-93376, Genome Release 64-1-1, Verified ORF, Unconventional prefoldin protein involved in translation initiation; mutants have inappropriate expression of nutrient sensitive genes due to translational dere",0.15822,0.17102,0.12635,-2.659996118,-2.547763043,-2.984502431,494,0.181818182,-2.730753864,-2.211018985
YGL151W,YGL151W,">YGL151W NUT1 SGDID:S000003119, Chr VII from 217524-220922, Genome Release 64-1-1, Verified ORF, Component of the RNA polymerase II mediator complex, which is required for transcriptional activation and also has a role in basal transcription",0.15391,0.16579,0.13553,-2.699841124,-2.592571105,-2.883315863,495,0.182186235,-2.725242697,-2.205507818
YKR071C,YKR071C,">YKR071C DRE2 SGDID:S000001779, Chr XI from 575980-574934, Genome Release 64-1-1, reverse complement, Verified ORF, Conserved component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery; contains an Fe-S cluster that receives electro",0.16087,0.1589,0.1353,-2.636032786,-2.65380897,-2.885766256,496,0.182554288,-2.725202671,-2.205467791
YOL059W,YOL059W,">YOL059W GPD2 SGDID:S000005420, Chr XV from 217126-218448, Genome Release 64-1-1, Verified ORF, NAD-dependent glycerol 3-phosphate dehydrogenase, homolog of Gpd1p, expression is controlled by an oxygen-independent signaling pathway required to regulate me",0.1199,0.21002,0.13922,-3.060096436,-2.251401374,-2.844561615,497,0.182922341,-2.718686475,-2.198951596
YIL064W,YIL064W,">YIL064W SEE1 SGDID:S000001326, Chr IX from 241943-242716, Genome Release 64-1-1, Verified ORF, Probable lysine methyltransferase involved in the dimethylation of eEF1A (Tef1p/Tef2p); sequence similarity to S-adenosylmethionine-dependent methyltransferase",0.32224,0.073336,0.14864,-1.633792506,-3.769334611,-2.750105688,498,0.183290394,-2.717744269,-2.198009389
YJR125C,YJR125C,">YJR125C ENT3 SGDID:S000003886, Chr X from 655963-654737, Genome Release 64-1-1, reverse complement, Verified ORF, Protein containing an N-terminal epsin-like domain involved in clathrin recruitment and traffic between the Golgi and endosomes; associates ",0.16397,0.17298,0.12436,-2.608496212,-2.531322852,-3.007405573,499,0.183658447,-2.715741546,-2.196006666
YPR185W,YPR185W,">YPR185W ATG13 SGDID:S000006389, Chr XVI from 907218-909434, Genome Release 64-1-1, Verified ORF, Regulatory subunit of the Atg1p signaling complex; stimulates Atg1p kinase activity; required for vesicle formation during autophagy and the cytoplasm-to-vac",0.14769,0.17355,0.1386,-2.759355949,-2.52657673,-2.851000837,500,0.1840265,-2.712311172,-2.192576293
YPL161C,YPL161C,">YPL161C BEM4 SGDID:S000006082, Chr XVI from 246220-244319, Genome Release 64-1-1, reverse complement, Verified ORF, Protein involved in establishment of cell polarity and bud emergence; interacts with the Rho1p small GTP-binding protein and with the Rho-",0.6821,0.10233,0.051051,-0.551944832,-3.288698934,-4.291916969,501,0.184394553,-2.710853578,-2.191118699
YML029W,YML029W,">YML029W USA1 SGDID:S000004491, Chr XIII from 217362-219878, Genome Release 64-1-1, Verified ORF, Scaffold subunit of the Hrd1p ubiquitin ligase that also promotes ligase oligomerization; involved in ER-associated protein degradation (ERAD); interacts wit",0.091559,0.20162,0.19392,-3.449154484,-2.310289339,-2.366466491,502,0.184762606,-2.708636771,-2.188901892
YKR089C,YKR089C,">YKR089C TGL4 SGDID:S000001797, Chr XI from 608365-605633, Genome Release 64-1-1, reverse complement, Verified ORF, Multifunctional triacylglycerol lipase, steryl ester hydrolase, and Ca2+-independent phospholipase A2; catalyzes acyl-CoA dependent acylati",0.14986,0.1379,0.17568,-2.738312738,-2.858305638,-2.508978135,503,0.185130659,-2.701865504,-2.182130625
YGR116W,YGR116W,">YGR116W SPT6 SGDID:S000003348, Chr VII from 720409-724764, Genome Release 64-1-1, Verified ORF, Transcription elongation factor required for the maintenance of chromatin structure during transcription in order to inhibit transcription from promoters with",0.15126,0.15914,0.15163,-2.724897571,-2.651631591,-2.721372876,504,0.185498712,-2.699300679,-2.1795658
YAL013W,YAL013W,">YAL013W DEP1 SGDID:S000000011, Chr I from 129270-130487, Genome Release 64-1-1, Verified ORF, Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telo",0.15665,0.14704,0.15862,-2.674383325,-2.765719423,-2.656353407,505,0.185866765,-2.698818718,-2.179083839
YEL022W,YEL022W,">YEL022W GEA2 SGDID:S000000748, Chr V from 111421-115800, Genome Release 64-1-1, Verified ORF, Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs), involved in vesicular transport between the Golgi and ER, Golgi organization, and actin ",0.16542,0.14975,0.14846,-2.595794422,-2.739372092,-2.751853821,506,0.186234818,-2.695673445,-2.175938566
YLR017W,YLR017W,">YLR017W MEU1 SGDID:S000004007, Chr XII from 177608-178621, Genome Release 64-1-1, Verified ORF, Methylthioadenosine phosphorylase (MTAP), catalyzes the initial step in the methionine salvage pathway; affects polyamine biosynthesis through regulation of o",0.24232,0.13404,0.118,-2.045014612,-2.899264503,-3.083141235,507,0.186602871,-2.675806783,-2.156071904
YKR026C,YKR026C,">YKR026C GCN3 SGDID:S000001734, Chr XI from 489655-488738, Genome Release 64-1-1, reverse complement, Verified ORF, Alpha subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated ",0.13571,0.18578,0.15496,-2.881401063,-2.428332897,-2.690032236,508,0.186970924,-2.666588732,-2.146853853
YGR186W,YGR186W,">YGR186W TFG1 SGDID:S000003418, Chr VII from 867774-869981, Genome Release 64-1-1, Verified ORF, TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74",0.098624,0.14336,0.27733,-3.341917423,-2.802285552,-1.850324407,509,0.187338977,-2.664842461,-2.145107582
YMR128W,YMR128W,">YMR128W ECM16 SGDID:S000004735, Chr XIII from 523696-527499, Genome Release 64-1-1, Verified ORF, Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis",0.16525,0.18284,0.13059,-2.597277823,-2.451346371,-2.936883669,510,0.18770703,-2.661835954,-2.142101075
YKL101W,YKL101W,">YKL101W HSL1 SGDID:S000001584, Chr XI from 248920-253476, Genome Release 64-1-1, Verified ORF, Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p ",0.14047,0.13443,0.2099,-2.831666046,-2.895072963,-2.252225928,511,0.188075083,-2.659654979,-2.1399201
YDR449C,YDR449C,">YDR449C UTP6 SGDID:S000002857, Chr IV from 1358902-1357580, Genome Release 64-1-1, reverse complement, Verified ORF, Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRN",0.2009,0.13225,0.15136,-2.315450531,-2.918660373,-2.723944101,512,0.188443136,-2.652685001,-2.132950122
YGL065C,YGL065C,">YGL065C ALG2 SGDID:S000003033, Chr VII from 381271-379760, Genome Release 64-1-1, reverse complement, Verified ORF, Mannosyltransferase that catalyzes two consecutive steps in the N-linked glycosylation pathway; alg2 mutants exhibit temperature-sensitive",0.13613,0.15259,0.19395,-2.876943055,-2.712267677,-2.366243319,513,0.188811189,-2.651818017,-2.132083138
YNL102W,YNL102W,">YNL102W POL1 SGDID:S000005046, Chr XIV from 430087-434493, Genome Release 64-1-1, Verified ORF, Catalytic subunit of the DNA polymerase I alpha-primase complex, required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DN",0.2302,0.15668,0.11172,-2.119040261,-2.674107061,-3.162040616,514,0.189179242,-2.651729313,-2.131994434
YMR246W,YMR246W,">YMR246W FAA4 SGDID:S000004860, Chr XIII from 759807-761891, Genome Release 64-1-1, Verified ORF, Long chain fatty acyl-CoA synthetase, activates imported fatty acids with a preference for C12:0-C16:0 chain lengths; functions in long chain fatty acid impo",0.13798,0.18194,0.16182,-2.857468929,-2.458465337,-2.627538167,515,0.189547295,-2.647824144,-2.128089265
YPR055W,YPR055W,">YPR055W SEC8 SGDID:S000006259, Chr XVI from 667676-670873, Genome Release 64-1-1, Verified ORF, Essential 121kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediatin",0.12185,0.15813,0.21113,-3.036821844,-2.660816997,-2.243796505,516,0.189915348,-2.647145115,-2.127410236
YKL040C,YKL040C,">YKL040C NFU1 SGDID:S000001523, Chr XI from 361828-361058, Genome Release 64-1-1, reverse complement, Verified ORF, Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters o",0.13228,0.14528,0.21238,-2.918333144,-2.783091987,-2.235280182,517,0.190283401,-2.645568438,-2.125833559
YDR166C,YDR166C,">YDR166C SEC5 SGDID:S000002573, Chr IV from 789221-786306, Genome Release 64-1-1, reverse complement, Verified ORF, Essential 107kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential f",0.15019,0.21826,0.12512,-2.735139337,-2.19588034,-2.998615677,518,0.190651454,-2.643211785,-2.123476905
YDR161W,YDR161W,">YDR161W YDR161W SGDID:S000002568, Chr IV from 779043-780206, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; non-essential gene; proposed function in rRNA and ribosome biosynthesis based on transcriptional co-regulation;",0.16351,0.25082,0.1015,-2.612549224,-1.995275704,-3.300448367,519,0.191019507,-2.636091098,-2.116356219
YDR464W,YDR464W,">YDR464W SPP41 SGDID:S000002872, Chr IV from 1388872-1393179, Genome Release 64-1-1, Verified ORF, Protein involved in negative regulation of expression of spliceosome components PRP4 and PRP3",0.12009,0.15008,0.23243,-3.057812073,-2.736196362,-2.105131804,520,0.19138756,-2.633046746,-2.113311867
YLR090W,YLR090W,">YLR090W XDJ1 SGDID:S000004080, Chr XII from 320701-322080, Genome Release 64-1-1, Verified ORF, Putative chaperone, homolog of E. coli DnaJ, closely related to Ydj1p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-t",0.056971,0.50908,0.14521,-4.13362846,-0.974035707,-2.783787286,521,0.191755613,-2.630483818,-2.110748938
YDR036C,YDR036C,">YDR036C EHD3 SGDID:S000002443, Chr IV from 524713-523211, Genome Release 64-1-1, reverse complement, Verified ORF, 3-hydroxyisobutyryl-CoA hydrolase, member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified ",0.23784,0.12602,0.14137,-2.071936727,-2.98827538,-2.822452095,522,0.192123666,-2.627554734,-2.107819855
YDL044C,YDL044C,">YDL044C MTF2 SGDID:S000002202, Chr IV from 375289-373967, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial matrix protein that interacts with an N-terminal region of mitochondrial RNA polymerase (Rpo41p) and couples RNA processing a",0.30347,0.088857,0.15911,-1.720374191,-3.492370756,-2.651903584,523,0.192491719,-2.62154951,-2.101814631
YDR320C,YDR320C,">YDR320C SWA2 SGDID:S000002728, Chr IV from 1108101-1106095, Genome Release 64-1-1, reverse complement, Verified ORF, Auxilin-like protein involved in vesicular transport; clathrin-binding protein required for uncoating of clathrin-coated vesicles",0.10366,0.21932,0.18943,-3.270068796,-2.188890716,-2.400263267,524,0.192859772,-2.619740926,-2.100006047
YGL178W,YGL178W,">YGL178W MPT5 SGDID:S000003146, Chr VII from 167352-167354,167995-170571, Genome Release 64-1-1, Verified ORF, Member of the Puf family of RNA-binding proteins; binds to mRNAs encoding chromatin modifiers and spindle pole body components; involved in long",0.16774,0.19729,0.13054,-2.575701334,-2.341610263,-2.93743615,525,0.193227825,-2.618249249,-2.09851437
YOR035C,YOR035C,">YOR035C SHE4 SGDID:S000005561, Chr XV from 400104-397735, Genome Release 64-1-1, reverse complement, Verified ORF, Protein containing a UCS (UNC-45/CRO1/SHE4) domain, binds to myosin motor domains to regulate myosin function; involved in endocytosis, pol",0.083359,0.28646,0.18145,-3.584518219,-1.803594393,-2.462356038,526,0.193595878,-2.616822883,-2.097088004
YEL058W,YEL058W,">YEL058W PCM1 SGDID:S000000784, Chr V from 43252-44925, Genome Release 64-1-1, Verified ORF, Essential N-acetylglucosamine-phosphate mutase; converts GlcNAc-6-P to GlcNAc-1-P, which is a precursor for the biosynthesis of chitin and for the formation of N-",0.15153,0.17734,0.16495,-2.722324647,-2.495410114,-2.599899317,527,0.193963931,-2.605878026,-2.086143147
YMR080C,YMR080C,">YMR080C NAM7 SGDID:S000004685, Chr XIII from 429627-426712, Genome Release 64-1-1, reverse complement, Verified ORF, ATP-dependent RNA helicase of the SFI superfamily involved in nonsense mediated mRNA decay; required for efficient translation terminatio",0.24803,0.14353,0.12503,-2.011413465,-2.800575781,-2.999653795,528,0.194331984,-2.603881014,-2.084146134
YPR105C,YPR105C,">YPR105C COG4 SGDID:S000006309, Chr XVI from 739569-736984, Genome Release 64-1-1, reverse complement, Verified ORF, Essential component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in prote",0.53525,0.078316,0.10644,-0.901715204,-3.674549109,-3.231887679,529,0.194700037,-2.602717331,-2.082982452
YOL090W,YOL090W,">YOL090W MSH2 SGDID:S000005450, Chr XV from 147382-150276, Genome Release 64-1-1, Verified ORF, Protein that forms heterodimers with Msh3p and Msh6p that bind to DNA mismatches to initiate the mismatch repair process; contains a Walker ATP-binding motif r",0.68066,0.044279,0.14808,-0.554993765,-4.497233549,-2.755551295,530,0.19506809,-2.60259287,-2.08285799
YMR093W,YMR093W,">YMR093W UTP15 SGDID:S000004699, Chr XIII from 454015-455556, Genome Release 64-1-1, Verified ORF, Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA",0.14709,0.18135,0.16735,-2.765228927,-2.46315135,-2.579059544,531,0.195436143,-2.60247994,-2.082745061
YDL025C,YDL025C,">YDL025C RTK1 SGDID:S000002183, Chr IV from 407206-405344, Genome Release 64-1-1, reverse complement, Verified ORF, Putative protein kinase, potentially phosphorylated by Cdc28p; interacts with ribosome biogenesis factors, Cka2, Gus1 and Arc1",0.24871,0.25436,0.070671,-2.007463579,-1.975056281,-3.822737866,532,0.195804196,-2.601752575,-2.082017696
YPR173C,YPR173C,">YPR173C VPS4 SGDID:S000006377, Chr XVI from 887837-886524, Genome Release 64-1-1, reverse complement, Verified ORF, AAA-ATPase involved in multivesicular body (MVB) protein sorting, ATP-bound Vps4p localizes to endosomes and catalyzes ESCRT-III disassemb",0.16331,0.18953,0.14536,-2.61431496,-2.39950187,-2.78229777,533,0.196172249,-2.598704867,-2.078969987
YBL069W,YBL069W,">YBL069W AST1 SGDID:S000000165, Chr II from 90741-92030, Genome Release 64-1-1, Verified ORF, Peripheral membrane protein that interacts with the plasma membrane ATPase Pma1p and has a role in its targeting to the plasma membrane, possibly by influencing ",0.33897,0.13171,0.10084,-1.560770499,-2.924563209,-3.309860072,534,0.196540302,-2.598397927,-2.078663047
YDR390C,YDR390C,">YDR390C UBA2 SGDID:S000002798, Chr IV from 1256847-1254937, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of a heterodimeric nuclear SUMO activating enzyme (E1) with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sum",0.19409,0.13501,0.1721,-2.365202306,-2.888861825,-2.538680998,535,0.196908355,-2.59758171,-2.07784683
YKL173W,YKL173W,">YKL173W SNU114 SGDID:S000001656, Chr XI from 122517-125543, Genome Release 64-1-1, Verified ORF, GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the ",0.13054,0.14764,0.23811,-2.93743615,-2.759844452,-2.070299884,536,0.197276408,-2.589193495,-2.069458616
YJR091C,YJR091C,">YJR091C JSN1 SGDID:S000003851, Chr X from 598336-595061, Genome Release 64-1-1, reverse complement, Verified ORF, Member of the Puf family of RNA-binding proteins, interacts with mRNAs encoding membrane-associated proteins; involved in localizing the Arp",0.3138,0.13211,0.11109,-1.672082743,-2.92018842,-3.17019914,537,0.197644461,-2.587490101,-2.067755221
YDR227W,YDR227W,">YDR227W SIR4 SGDID:S000002635, Chr IV from 917571-921647, Genome Release 64-1-1, Verified ORF, Silent information regulator that, together with SIR2 and SIR3, is involved in assembly of silent chromatin domains at telomeres and the silent mating-type loc",0.13745,0.10489,0.32148,-2.863021188,-3.253050954,-1.637199108,538,0.198012514,-2.58442375,-2.064688871
YDR167W,YDR167W,">YDR167W TAF10 SGDID:S000002574, Chr IV from 789449-790069, Genome Release 64-1-1, Verified ORF, Subunit (145 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification",0.13307,0.19377,0.18033,-2.909742736,-2.367582869,-2.471288669,539,0.198380567,-2.582871425,-2.063136545
