"Protein.IDs","Majority.protein.IDs","First.Majority.protein.IDs","Fasta.headers","Ratio.H.L.MSZ20_1_P","Ratio.H.L.MSZ20_1_T","Ratio.H.L.MSZ20_2_P","Ratio.H.L.MSZ20_2_T","Ratio.H.L.MSZ20_3_P","Ratio.H.L.MSZ20_3_T","Ratio.H.L.MSZ20_4_P","Ratio.H.L.MSZ20_4_T","Ratio.MSZ20_P_T_1","Ratio.MSZ20_P_T_2","Ratio.MSZ20_P_T_3","Ratio.MSZ20_P_T_4","Log2.MSZ20_P_T_1","Log2.MSZ20_P_T_2","Log2.MSZ20_P_T_3","Log2.MSZ20_P_T_4","Log2.MSZ20_P_1","Log2.MSZ20_P_2","Log2.MSZ20_P_3","Log2.MSZ20_P_4","Log2.MSZ20_T_1","Log2.MSZ20_T_2","Log2.MSZ20_T_3","Log2.MSZ20_T_4","Log2.MSZ20_P_T_mean","Log2.MSZ20_T_mean","Log2.MSZ20_P_mean","MSZ20_P_T_count","MSZ20_P_T_p.val","MSZ20_P_T_rank","MSZ20_P_T_log10p.val"
"YOR367W","YOR367W","YOR367W","YOR367W SCP1 SGDID:S000005894, Chr XV from 1026007-1026609, Genome Release 64-2-1, Verified ORF, Component of yeast cortical actin cytoskeleton; binds and cross links actin filaments; originally identified by its homology to calponin (contains a calponin-",0.062154,0.1551,0.076493,0.10072,0.080938,0.11006,0.10106,0.11931,0.40073500967118,0.759461874503574,0.735398873341814,0.847037130165116,-1.31927954051512,-0.396950552602673,-0.443401128606452,-0.239502882908415,-4.00800894902847,-3.70852845932047,-3.6270389897139,-3.30671600981886,-2.68872940851336,-3.3115779067178,-3.18363786110745,-3.06721312691044,-0.599783526158164,-3.06278957581226,-3.66257310197043,4,0.0908296065798892,0.113409961685824,1.04177256691426
"YGL224C","YGL224C","YGL224C","YGL224C SDT1 SGDID:S000003192, Chr VII from 78857-78015, Genome Release 64-2-1, reverse complement, Verified ORF, Pyrimidine nucleotidase; responsible for production of nicotinamide riboside and nicotinic acid riboside; overexpression suppresses the 6-AU ",0.068002,0.058712,0.050068,0.10577,0.051249,0.065307,0.063025,0.14267,1.15823000408775,0.473366739150988,0.784739767559373,0.44175369734352,0.211921775613181,-1.0789697554133,-0.349713782660211,-1.17868588514309,-3.87827901182865,-4.31996736262768,-4.28633233557842,-3.98793197669091,-4.09020078744183,-3.24099760721438,-3.93661855291821,-2.80924609154782,-0.598861911900857,-3.51926575978056,-4.11812767168142,4,0.164793349858171,0.113793103448276,0.783060317991898
"YDR228C","YDR228C","YDR228C","YDR228C PCF11 SGDID:S000002636, Chr IV from 923806-921926, Genome Release 64-2-1, reverse complement, Verified ORF, mRNA 3 end processing factor; essential component of cleavage and polyadenylation factor IA (CF IA), involved in pre-mRNA 3 end processin",0.13629,0.23055,0.17158,0.23579,0.10488,0.1961,0.12662,0.15284,0.591151594014314,0.727681411425421,0.534829168791433,0.828448050248626,-0.758399954521391,-0.458621137261691,-0.902849944857757,-0.271516862134077,-2.87524838365891,-2.54304669812456,-3.25318850421506,-2.98142279421338,-2.11684842913752,-2.08442556086287,-2.3503385593573,-2.7099059320793,-0.597846974693729,-2.31537962035925,-2.91322659505298,4,0.0248381996034883,0.114176245210728,1.60487988718337
"YBR140C","YBR140C","YBR140C","YBR140C IRA1 SGDID:S000000344, Chr II from 526628-517350, Genome Release 64-2-1, reverse complement, Verified ORF, GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form, required for reducing cAMP le",0.15991,0.44116,0.1777,0.11616,0.173,0.21613,0.16288,0.37859,0.362476199111433,1.52978650137741,0.800444177115625,0.430227951081645,-1.46404182679761,0.61333032292029,-0.321127302022976,-1.21682683796243,-2.64466793405971,-2.49248441352077,-2.53115605702536,-2.61811862836112,-1.1806261072621,-3.10581473644106,-2.21002875500239,-1.40129179039868,-0.597166410965683,-1.97444034727606,-2.57160675824174,4,0.295405878416249,0.11455938697318,0.529580866714192
"YGR187C","YGR187C","YGR187C","YGR187C HGH1 SGDID:S000003419, Chr VII from 871416-870232, Genome Release 64-2-1, reverse complement, Verified ORF, Nonessential protein of unknown function; predicted to be involved in ribosome biogenesis; green fluorescent protein (GFP)-fusion protein l",0.077091,0.103,0.099893,0.1697,0.074291,0.16206,0.094555,0.09995,0.748456310679612,0.588644667059517,0.458416635813896,0.946023011505753,-0.418009989966998,-0.764531075034698,-1.12526869483548,-0.080052818107617,-3.69729374744587,-3.32347260504148,-3.75066874404217,-3.40270244091244,-3.27928375747887,-2.55894153000679,-2.62540004920669,-3.32264962280482,-0.596965644486197,-2.94656873987429,-3.54353438436049,4,0.0766279078614898,0.114942528735632,1.11561303163519
"YNL091W","YNL091W","YNL091W","YNL091W NST1 SGDID:S000005035, Chr XIV from 452408-456130, Genome Release 64-2-1, Verified ORF, Protein of unknown function; mediates sensitivity to salt stress; interacts physically with the splicing factor Msl1p and also displays genetic interaction wit",0.10766,0.12821,0.083783,0.12733,0.1141,0.17546,0.13037,0.24407,0.83971609078855,0.657998900494777,0.650290664538926,0.53415003892326,-0.252026461812449,-0.603842921644258,-0.620843382042714,-0.904683053336724,-3.21544576441738,-3.57719864637198,-3.13162930326077,-2.93931617187217,-2.96341930260493,-2.97335572472772,-2.51078592121805,-2.03463311853545,-0.595348954709036,-2.62054851677154,-3.21589747148058,4,0.0210478223390792,0.115325670498084,1.67679283070928
"YGR217W","YGR217W","YGR217W","YGR217W CCH1 SGDID:S000003449, Chr VII from 924696-930815, Genome Release 64-2-1, Verified ORF, Voltage-gated high-affinity calcium channel; involved in calcium influx in response to some environmental stresses as well as exposure to mating pheromones; in",0.16243,0.23804,0.18848,0.18526,0.11553,0.34268,0.30234,0.36316,0.682364308519577,1.01738097808485,0.337136687288432,0.832525608547197,-0.551385907299805,0.0248600255769924,-1.568594464631,-0.264433444618395,-2.6221099792725,-2.40751665060635,-3.11366056591867,-1.7257562327459,-2.0707240719727,-2.43237667618334,-1.54506610128767,-1.46132278812751,-0.589888447743052,-1.8773724093928,-2.46726085713586,4,0.187503580345542,0.115708812260536,0.726990435085773
"YPR115W","YPR115W","YPR115W","YPR115W RGC1 SGDID:S000006319, Chr XVI from 754877-758128, Genome Release 64-2-1, Verified ORF, Pleckstrin homology domain containing protein; proposed to function as a glycerol channel activator; green fluorescent protein (GFP)-fusion protein localizes t",0.19131,0.22756,0.1894,0.2867,0.17368,0.32801,0.22756,NA,0.84070135348919,0.660620858039763,0.529496051949636,NA,-0.25033469911395,-0.598105573772138,-0.917308167712086,NA,-2.386015807856,-2.40049176408106,-2.52549646382167,-2.13568110874205,-2.13568110874205,-1.80238619030893,-1.60818829610958,NA,-0.588582813532725,-1.84875186505352,-2.3619212861252,3,0.0924637285082268,0.116091954022989,1.03402859805021
"YLR084C","YLR084C","YLR084C","YLR084C RAX2 SGDID:S000004074, Chr XII from 300251-296589, Genome Release 64-2-1, reverse complement, Verified ORF, N-glycosylated protein; involved in the maintenance of bud site selection during bipolar budding; localization requires Rax1p; RAX2 mRNA st",0.14524,0.12529,0.081591,NA,0.075515,0.13987,0.0969,0.20445,1.1592305850427,NA,0.539894187459784,0.473954512105649,0.213167564454798,NA,-0.88925141017666,-1.07717949211128,-2.7834892596366,-3.61544616713021,-3.72709294565241,-3.36735952413437,-2.9966568240914,NA,-2.83784153547575,-2.29018003202308,-0.584421112611049,-2.70822613053008,-3.3733469741384,3,0.283610451311945,0.116475095785441,0.547277769033847
"YGR007W","YGR007W","YGR007W","YGR007W ECT1 SGDID:S000003239, Chr VII from 506969-507940, Genome Release 64-2-1, Verified ORF, Ethanolamine-phosphate cytidylyltransferase; catalyzes the second step of phosphatidylethanolamine biosynthesis; involved in the maintenance of plasma membrane",0.16601,0.18135,0.12995,0.11384,0.19147,0.4322,0.11868,0.27644,0.915412186379928,1.14151440618412,0.443012494215641,0.42931558385183,-0.127506597013826,0.190949066833081,-1.17458070741912,-1.21988955234226,-2.590657946593,-2.94397146107725,-2.38480973010907,-3.07485126295654,-2.46315134957917,-3.13492052791033,-1.21022902268994,-1.85496171061428,-0.582756947485533,-2.16581565269843,-2.74857260018396,4,0.204678546273679,0.116858237547893,0.688927676259045
"YKR089C","YKR089C","YKR089C","YKR089C TGL4 SGDID:S000001797, Chr XI from 608365-605633, Genome Release 64-2-1, reverse complement, Verified ORF, Multifunctional lipase/hydrolase/phospholipase; triacylglycerol lipase, steryl ester hydrolase, and Ca2+-independent phospholipase A2; catal",0.13843,NA,0.16929,0.27109,0.13907,0.22362,0.16136,0.2098,NA,0.624478955328489,0.62190322869153,0.769113441372736,NA,-0.679275140435711,-0.685237987760416,-0.378731688851668,-2.85277146288772,-2.5624313394713,-2.84611685774722,-2.63164510582385,NA,-1.88315619903559,-2.16087886998681,-2.25291341697218,-0.581081605682599,-2.09898282866486,-2.72324119148252,3,0.0290115893313253,0.117241379310345,1.5374284787493
"YLR215C","YLR215C","YLR215C","YLR215C CDC123 SGDID:S000004205, Chr XII from 571858-570776, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in nutritional control of the cell cycle; regulates abundance of the translation initiation factor eIF2; ortholog of hum",0.074111,0.10116,0.12934,0.088192,0.10655,0.16697,0.093278,0.32018,0.732611704230921,1.4665729317852,0.638138587770258,0.291329876944219,-0.448879345108943,0.552448817230948,-0.648058319523658,-1.77927443216988,-3.75416849788252,-2.95075957938893,-3.23039750176675,-3.42231933413742,-3.30528915277357,-3.50320839661988,-2.58233918224309,-1.64304490196754,-0.580940819892884,-2.75847040840102,-3.3394112282939,4,0.311202863101923,0.117624521072797,0.506956416105079
"YGR189C","YGR189C","YGR189C","YGR189C CRH1 SGDID:S000003421, Chr VII from 878192-876669, Genome Release 64-2-1, reverse complement, Verified ORF, Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally ",0.14799,0.23935,0.14608,0.22059,0.19511,0.2882,0.19583,0.27101,0.618299561311886,0.662224035541049,0.676995142262318,0.722593262241246,-0.69362211289148,-0.59460872032493,-0.562782613020927,-0.468744292340173,-2.75642840172116,-2.77516942445259,-2.35764037239563,-2.35232630065121,-2.06280628882968,-2.18056070412766,-1.7948577593747,-1.88358200831104,-0.579939434644378,-1.98045169016077,-2.56039112480515,4,0.00110158238076601,0.118007662835249,2.95798301900866
"YGR246C","YGR246C","YGR246C","YGR246C BRF1 SGDID:S000003478, Chr VII from 984272-982482, Genome Release 64-2-1, reverse complement, Verified ORF, TFIIIB B-related factor; one of three subunits of RNA polymerase III transcription initiation factor TFIIIB, binds TFIIIC and TBP and recru",0.15751,0.61588,0.23565,0.2064,0.25418,0.2465,0.18078,NA,0.255747872962265,1.14171511627907,1.03115618661258,NA,-1.96720585366379,0.191202710592098,0.0442628706163025,NA,-2.66648466949748,-2.0852824135341,-1.97607757766787,-2.46769301612119,-0.699278815833689,-2.2764851241262,-2.02034044828418,NA,-0.577246757485128,-1.66536812941469,-2.29888441920516,3,0.494266517176254,0.118390804597701,0.306038808714047
"YPR179C","YPR179C","YPR179C","YPR179C HDA3 SGDID:S000006383, Chr XVI from 895764-893797, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of the HDA1 histone deacetylase complex; possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex contains",0.32203,0.84484,0.18001,0.16638,0.20186,0.28112,0.1994,0.29232,0.381172766440983,1.0819209039548,0.718056346044394,0.682129173508484,-1.39148304784325,0.11359503184196,-0.477831037789859,-0.551883129341931,-1.63473300022709,-2.47385104083422,-2.3085730362183,-2.32626268515125,-0.243249952383834,-2.58744607267618,-1.83074199842844,-1.77437955580932,-0.576900545783271,-1.60895439482444,-2.18585494060771,4,0.15936557529087,0.118773946360153,0.797605485172226
"YMR009W","YMR009W","YMR009W","YMR009W ADI1 SGDID:S000004611, Chr XIII from 284102-284641, Genome Release 64-2-1, Verified ORF, Acireductone dioxygenease involved in the methionine salvage pathway; ortholog of human MTCBP-1; transcribed as polycistronic mRNA with YMR010W and regulated ",0.1633,0.26789,0.11691,0.20759,0.12505,0.1423,0.12524,NA,0.609578558363507,0.563177417023941,0.878777231201686,NA,-0.714115937277043,-0.828338610700474,-0.186430604345513,NA,-2.61440330398775,-3.09652975754662,-2.99942303736848,-2.99723268129814,-1.90028736671071,-2.26819114684614,-2.81299243302297,NA,-0.576295050774343,-2.32715698219327,-2.92689719505025,3,0.100293838357102,0.119157088122605,0.998725747435301
"YGL180W","YGL180W","YGL180W","YGL180W ATG1 SGDID:S000003148, Chr VII from 160065-162758, Genome Release 64-2-1, Verified ORF, Protein serine/threonine kinase; required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; structurally required for ph",0.26032,0.67663,0.19857,0.10635,0.12618,0.50263,0.18239,0.16153,0.384730207055555,1.86713681241185,0.251039532061357,1.12914009781465,-1.3780809877421,0.900827643341607,-1.99401352665525,0.175224499293387,-1.94164193876428,-2.33228041824717,-2.98644483898388,-2.45490146267582,-0.563560951022188,-3.23310806158878,-0.992431312328624,-2.63012596196921,-0.574010592940589,-1.8548065717272,-2.42881716466779,4,0.455052053506708,0.119540229885057,0.341938921457847
"YBR227C","YBR227C","YBR227C","YBR227C MCX1 SGDID:S000000431, Chr II from 675134-673572, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial matrix protein; putative ATP-binding chaperone with non-proteolytic function; similar to bacterial ClpX proteins",0.076242,0.11448,0.081288,0.070307,0.078258,0.16258,0.091226,0.16571,0.665985324947589,1.1561864394726,0.481350719645713,0.550515961619697,-0.586437707168296,0.209374056674865,-1.0548396476367,-0.861143701096363,-3.71327022487844,-3.62081379710886,-3.67561794929006,-3.45441112936224,-3.12683251771014,-3.83018785378373,-2.62077830165336,-2.59326742826588,-0.573261749806624,-3.04276652535328,-3.6160282751599,4,0.131243248726684,0.11992337164751,0.881923027854647
"YOR280C","YOR280C","YOR280C","YOR280C FSH3 SGDID:S000005806, Chr XV from 845792-844992, Genome Release 64-2-1, reverse complement, Verified ORF, Putative serine hydrolase; likely target of Cyc8p-Tup1p-Rfx1p transcriptional regulation; sequence is similar to S. cerevisiae Fsh1p and Fsh",0.088712,0.09518,0.083037,0.13493,0.11457,0.16832,0.10655,0.20206,0.932044547173776,0.6154079893278,0.680667775665399,0.527318618232208,-0.101529184588472,-0.700384921789875,-0.554977283948632,-0.923253159506454,-3.49472691986479,-3.59010186750602,-3.12569876909314,-3.23039750176675,-3.39319773527632,-2.88971694571614,-2.57072148514451,-2.30714434226029,-0.570036137458358,-2.79019512709932,-3.36023126455767,4,0.0462735276279646,0.120306513409962,1.33466739112121
"YMR185W","YMR185W","YMR185W","YMR185W RTP1 SGDID:S000004797, Chr XIII from 629025-631970, Genome Release 64-2-1, Verified ORF, Protein required for the nuclear import and biogenesis of RNA pol II; conflicting evidence on whether null mutant is viable with elongated buds, or inviable; ",0.11397,NA,0.086483,0.14137,0.075577,0.093249,0.094924,0.15396,NA,0.611749310320436,0.810485903334084,0.616549753182645,NA,-0.708987525060585,-0.303141001515761,-0.697710775646659,-3.13327397705063,-3.53143962033244,-3.72590893726606,-3.39708329427263,NA,-2.82245209527185,-3.4227679357503,-2.69937251862597,-0.569946434074335,-2.98153084988271,-3.44692645723044,3,0.0506859719439948,0.120689655172414,1.29511222114601
"YGR199W","YGR199W","YGR199W","YGR199W PMT6 SGDID:S000003431, Chr VII from 897502-899781, Genome Release 64-2-1, Verified ORF, Protein O-mannosyltransferase; transfers mannose from dolichyl phosphate-D-mannose to protein serine/threonine residues of secretory proteins; reaction is esse",0.078417,0.28163,0.086349,0.071924,0.072755,0.079227,NA,0.085265,0.278439796896637,1.20055892330794,0.918310676915698,NA,-1.84456266717008,0.263706212629568,-0.122945775432432,NA,-3.67268974006395,-3.53367671964525,-3.78080979086267,NA,-1.82812707289387,-3.79738293227481,-3.65786401543024,-3.55190253133308,-0.567934076657648,-3.208819137983,-3.66239208352396,3,0.473221134326093,0.121072796934866,0.324935867771413
"YLR324W","YLR324W","YLR324W","YLR324W PEX30 SGDID:S000004316, Chr XII from 779215-780786, Genome Release 64-2-1, Verified ORF, Peroxisomal integral membrane protein; involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interaction",0.10133,0.098772,0.1221,0.21678,0.118,0.14933,0.10649,0.2335,1.02589802778115,0.563243841682812,0.790196209736824,0.456059957173447,0.0368873370603112,-0.828168460278834,-0.339717168600887,-1.13270459016714,-3.30286672979393,-3.03386489456205,-3.08314123530025,-3.23121013511956,-3.33975406685424,-2.20569643428321,-2.74342406669936,-2.09850554495243,-0.565925720496637,-2.59684502819731,-3.16277074869395,4,0.1167349439692,0.121455938697318,0.932799120806814
"YLR189C","YLR189C","YLR189C","YLR189C ATG26 SGDID:S000004179, Chr XII from 534393-530797, Genome Release 64-2-1, reverse complement, Verified ORF, UDP-glucose:sterol glucosyltransferase; conserved enzyme involved in synthesis of sterol glucoside membrane lipids; in contrast to ATG26 f",0.26286,0.37237,0.2186,0.16609,0.15365,0.4627,0.22815,NA,0.705910787657438,1.31615389246794,0.332072617246596,NA,-0.502442226315472,0.396328187340542,-1.59042933197233,NA,-1.92763347439271,-2.19363469387754,-2.70228032795649,-2.1319454411038,-1.42519124807723,-2.58996288121809,-1.11185099598415,NA,-0.565514456982421,-1.70900170842649,-2.23887348433263,3,0.4286459523005,0.12183908045977,0.367901272956393
"YDL101C","YDL101C","YDL101C","YDL101C DUN1 SGDID:S000002259, Chr IV from 281848-280307, Genome Release 64-2-1, reverse complement, Verified ORF, Cell-cycle checkpoint serine-threonine kinase; required for DNA damage-induced transcription of certain target genes, phosphorylation of Rad",0.059166,0.08541,0.056417,0.081191,0.083434,0.12891,0.094865,NA,0.6927291886196,0.694867657745317,0.647226747343108,NA,-0.529636630828161,-0.525189861936523,-0.627656864959557,NA,-4.07908782680155,-4.14772623778592,-3.58322077690127,-3.39798027997944,-3.54945119597339,-3.6225363758494,-2.95556391194172,NA,-0.560827785908081,-3.37585049458817,-3.80200378036705,3,0.00353625813491778,0.122222222222222,2.45145604046932
"YGL117W","YGL117W","YGL117W","YGL117W YGL117W SGDID:S000003085, Chr VII from 288512-289309, Genome Release 64-2-1, Uncharacterized ORF, Putative protein of unknown function",0.088872,0.082625,0.061538,0.084039,0.056568,0.11218,0.090266,0.16952,1.07560665658094,0.732255262437678,0.50426100909253,0.532479943369514,0.105150588723007,-0.449581438649624,-0.987757418597824,-0.9092009097297,-3.49212723443139,-4.02237863328184,-4.14387002535285,-3.46967351179434,-3.5972778231544,-3.57279719463221,-3.15611260675503,-2.56047260206464,-0.560347294563535,-3.22166505665157,-3.7820123512151,4,0.112280481758373,0.122605363984674,0.949695732619768
"YGR028W","YGR028W","YGR028W","YGR028W MSP1 SGDID:S000003260, Chr VII from 542203-543291, Genome Release 64-2-1, Verified ORF, Highly-conserved N-terminally anchored AAA-ATPase; distributed in the mitochondrial outer membrane and peroxisomes; involved in mitochondrial protein sorting; ",0.11058,0.1519,0.10707,0.1402,0.10744,NA,0.12208,0.21717,0.727978933508887,0.763694721825963,NA,0.562140258783442,-0.458031393037576,-0.388932042127807,NA,-0.830997954823533,-3.17683761808494,-3.22337378766663,-3.21839688500937,-3.03410122760228,-2.71880622504737,-2.83444174553883,NA,-2.20310327277875,-0.559320463329639,-2.58545041445498,-3.16317737959081,3,0.0553036680195684,0.122988505747126,1.25724606312877
"YDR175C","YDR175C","YDR175C","YDR175C RSM24 SGDID:S000002582, Chr IV from 814152-813193, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the small subunit",0.083789,0.084613,0.12952,0.16084,0.10166,0.29799,0.10508,0.13478,0.990261543734414,0.805272320318329,0.341152387664016,0.779640896275412,-0.0141184807909719,-0.312451350497795,-1.55151178139087,-0.359118325345629,-3.57709533352438,-2.94875320413425,-3.29817595898837,-3.25043998930318,-3.56297685273341,-2.63630185363645,-1.7466641775975,-2.89132166395755,-0.559299984506316,-2.70931613698123,-3.26861612148754,4,0.197978518306142,0.123371647509579,0.703381930381041
"YDR288W","YDR288W","YDR288W","YDR288W NSE3 SGDID:S000002696, Chr IV from 1037195-1038106, Genome Release 64-2-1, Verified ORF, Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA re",0.15374,0.19876,0.23929,0.36705,0.21376,0.66588,0.21327,0.16193,0.773495673173677,0.651927530309222,0.32101880218658,1.31705057740999,-0.37053487342422,-0.617216494655519,-1.63927029589824,0.397310749070132,-2.70143552131092,-2.06316798740442,-2.22593618196276,-2.22924705417452,-2.3309006478867,-1.4459514927489,-0.586665886064524,-2.62655780324466,-0.557427728726961,-1.7475189574862,-2.30494668621316,4,0.276736382720232,0.123754789272031,0.557933740114863
"YLR413W","YLR413W","YLR413W","YLR413W INA1 SGDID:S000004405, Chr XII from 951156-953183, Genome Release 64-2-1, Verified ORF, Putative protein of unknown function; not an essential gene; YLR413W has a paralog, FAT3, that arose from the whole genome duplication",0.082041,0.10554,0.075299,0.1315,0.093429,0.13232,0.09423,0.13881,0.777345082433201,0.572615969581749,0.706083736396614,0.678841582018587,-0.363372906556654,-0.804360188931649,-0.50208880810409,-0.558853155913331,-3.60751111280035,-3.73122548430143,-3.41998576336963,-3.40766974606369,-3.24413820624369,-2.92686529536978,-2.91789695526554,-2.84881659015036,-0.557168764876431,-2.98442926175734,-3.54159802663378,4,0.00904867782855164,0.124137931034483,2.04341487424379
"YFR028C","YFR028C","YFR028C","YFR028C CDC14 SGDID:S000001924, Chr VI from 210068-208413, Genome Release 64-2-1, reverse complement, Verified ORF, Protein phosphatase required for mitotic exit; required for rDNA segregation, cytokinesis, meiosis I spindle disassembly, and environmental",0.11124,0.14846,0.098231,0.14052,0.094389,0.11076,0.088944,0.18511,0.749292738784858,0.699053515513806,0.852193932827736,0.480492680028091,-0.416398624157248,-0.516525190629916,-0.230746314564021,-1.05741364217681,-3.16825244509012,-3.34767780384436,-3.4052374506339,-3.49095890257575,-2.75185382093288,-2.83115261321444,-3.17449113606988,-2.43354526039894,-0.555270942881999,-2.79776070765403,-3.35303165053603,4,0.0521641576162348,0.124521072796935,1.28262780152019
"YJR046W","YJR046W","YJR046W","YJR046W TAH11 SGDID:S000003807, Chr X from 522048-523862, Genome Release 64-2-1, Verified ORF, DNA replication licensing factor; required for pre-replication complex assembly",0.126,0.20176,0.12208,0.21304,0.11784,0.088085,0.13819,0.30753,0.624504361617764,0.573037927149831,1.33779871714821,0.449354534516958,-0.679216447053579,-0.803297466376084,0.419861066938442,-1.15407393419938,-2.98850436116217,-3.03410122760228,-3.08509875940096,-2.85527487476461,-2.30928791410859,-2.2308037612262,-3.5049598263394,-1.70120094056523,-0.554181695172651,-2.43656311055986,-2.99074480573251,4,0.201498486784222,0.124904214559387,0.695728210980589
"YHR127W","YHR127W","YHR127W","YHR127W YHR127W SGDID:S000001169, Chr VIII from 360913-361644, Genome Release 64-2-1, Verified ORF, Protein of unknown function; localizes to the nucleus; required for asymmetric localization of Kar9p during mitosis",0.058436,0.12841,0.06588,0.0906,0.057097,0.080624,0.071834,0.077851,0.455073592399346,0.727152317880795,0.70818862869617,0.922711333187756,-1.13582822473131,-0.459670495207243,-0.497794416161855,-0.116048718213927,-4.09699876210674,-3.92401563471046,-4.13044124451628,-3.79918933707515,-2.96117053737543,-3.46434513950321,-3.63264682835442,-3.68314061886123,-0.552335463578584,-3.43532578102357,-3.98766124460216,4,0.0805123813406882,0.125287356321839,1.09413732789965
"YDL167C","YDL167C","YDL167C","YDL167C NRP1 SGDID:S000002326, Chr IV from 163154-160995, Genome Release 64-2-1, reverse complement, Verified ORF, Putative RNA binding protein of unknown function; localizes to stress granules induced by glucose deprivation; predicted to be involved in r",0.1206,0.15337,0.10754,0.16695,0.089278,0.13318,0.11795,0.1847,0.786333702810198,0.644144953578916,0.67035590929569,0.638603140227396,-0.346786404260379,-0.63454271667501,-0.577000831787261,-0.647008447742976,-3.05169818764936,-3.21705471816134,-3.48555148140692,-3.08375267630999,-2.70491178338899,-2.58251200148633,-2.90855064961965,-2.43674422856701,-0.551334600116407,-2.6581796657655,-3.2095142658819,4,0.00424108075916867,0.125670498084291,2.37252345757392
"YDR153C","YDR153C","YDR153C","YDR153C ENT5 SGDID:S000002560, Chr IV from 767971-766736, Genome Release 64-2-1, reverse complement, Verified ORF, Protein containing an N-terminal epsin-like domain; involved in clathrin recruitment and traffic between the Golgi and endosomes; associates",0.073167,0.1005,0.11797,0.13379,0.069206,0.11443,0.097123,0.17368,0.728029850746269,0.88175498916212,0.604788953945644,0.559206586826347,-0.457930489737143,-0.181550261129416,-0.725496304920591,-0.838546740744578,-3.7726630832203,-3.0835080688084,-3.85295906816996,-3.36404320456624,-3.31473259348316,-2.90195780767899,-3.12746276324937,-2.52549646382167,-0.550880949132932,-2.96741240705829,-3.51829335619123,4,0.0330054525945347,0.126053639846743,1.48141430751287
"YOR070C","YOR070C","YOR070C","YOR070C GYP1 SGDID:S000005596, Chr XV from 457820-455907, Genome Release 64-2-1, reverse complement, Verified ORF, Cis-golgi GTPase-activating protein (GAP) for yeast Rabs; the Rab family members are Ypt1p (in vivo) and for Ypt1p, Sec4p, Ypt7p, and Ypt51p",0.11477,0.20229,0.11545,0.13935,0.11391,0.16801,0.12633,NA,0.567353799001434,0.828489415141729,0.677995357419201,NA,-0.817679421654962,-0.271444829329694,-0.560652700362361,NA,-3.12318251304254,-3.11465992177533,-3.13403369009657,-2.98473081354656,-2.30550309138758,-2.84321509244564,-2.57338098973421,NA,-0.549925650449005,-2.57403305785581,-3.08915173461525,3,0.0733695849278282,0.126436781609195,1.13448393784309
"YLR427W","YLR427W","YLR427W","YLR427W MAG2 SGDID:S000004419, Chr XII from 988428-990440, Genome Release 64-2-1, Verified ORF, Cytoplasmic protein of unknown function; induced in response to mycotoxin patulin; ubiquitinated protein similar to the human ring finger motif protein RNF10; ",0.15184,0.41116,0.1549,0.13419,0.13994,0.1864,0.14597,NA,0.369296624185232,1.15433340785453,0.750751072961373,NA,-1.43714802024929,0.207059979951176,-0.413593463226887,NA,-2.7193761974157,-2.69059095075988,-2.83711969812206,-2.77625620042932,-1.28222817716641,-2.89765093071106,-2.42352623489517,NA,-0.547893834508334,-2.20113511425755,-2.75583576168174,3,0.371430006387398,0.126819923371648,0.430123014214795
"YCR095C","YCR095C","YCR095C","YCR095C OCA4 SGDID:S000000691, Chr III from 289258-288170, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, Cytoplasmic protein required for replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of posi",0.10497,0.10729,0.1268,0.13254,0.11999,0.3506,0.10148,NA,0.978376363127971,0.956692319299834,0.342241871078152,NA,-0.031538545079688,-0.0638730790496613,-1.54691181986003,NA,-3.25195102447581,-2.97937334941004,-3.05901391864995,-3.30073267037287,-3.22041247939612,-2.91550027036038,-1.51210209878991,NA,-0.547441147996461,-2.5493382828488,-3.14776774072717,3,0.387688363061236,0.1272030651341,0.411517234675378
"YJL145W","YJL145W","YJL145W","YJL145W SFH5 SGDID:S000003681, Chr X from 145160-146044, Genome Release 64-2-1, Verified ORF, Non-classical phosphatidylinositol transfer protein (PITP); exhibits PI- but not PC-transfer activity; localizes to the peripheral endoplasmic reticulum, cytosol",0.14073,0.12996,0.15299,0.29257,0.10876,0.19565,0.14102,0.20246,1.08287165281625,0.522917592371057,0.5558906210069,0.69653264842438,0.114862257887654,-0.935344487698319,-0.847127053763396,-0.52173711734291,-2.82899818821967,-2.70849073884459,-3.20078003841205,-2.82602830918077,-2.94386044610733,-1.77314625114627,-2.35365298464866,-2.30429119183786,-0.547336600229243,-2.34373771843503,-2.89107431866427,4,0.104991055292403,0.127586206896552,0.978847699050278
